כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
אמציהו המלך 8,101,08/05/2025,"2,580,000 ₪",10751-17-2,דירה בבית קומות,4,עשרים וחמש,2023,"25,545 ₪",1
אמציהו המלך 8,101,23/04/2025,"2,530,000 ₪",10751-17-3,דירה בבית קומות,4,עשרים,2023,"25,050 ₪",1
שלמה המלך 39,21.5,04/04/2025,"1,000,000 ₪",10743-121-6,דירה בבית קומות,1,קרקע,1970,"47,619 ₪",2
שלמה המלך 39,21.5,20/07/2023,"910,000 ₪",10743-121-6,דירה בבית קומות,1,קרקע,1970,"47,619 ₪",2
שלמה המלך 39,21.5,28/06/2012,"218,000 ₪",10743-121-6,דירה בבית קומות,1,קרקע,1970,"47,619 ₪",2
שלמה המלך 39,21.5,23/08/2011,"125,000 ₪",10743-121-6,דירה בבית קומות,1,קרקע,1970,"47,619 ₪",2
שלמה המלך 55,31.5,27/03/2025,"1,188,000 ₪",10750-41-3,דירה בבית קומות,2,ראשונה,1970,"38,323 ₪",3
שלמה המלך 55,31.5,15/02/2016,"350,000 ₪",10750-41-3,דירה בבית קומות,2,ראשונה,1970,"38,323 ₪",3
אמציהו המלך 4,98,26/03/2025,"2,620,000 ₪",10751-18-2,דירה בבית קומות,4,עשרים ושלוש,2023,"26,735 ₪",1
אמציהו המלך 7,84,19/03/2025,"1,920,000 ₪",10751-13-101,דירה בבית קומות,4,שישית,2023,"22,857 ₪",0
אמציהו המלך 3,122,16/03/2025,"2,400,000 ₪",10751-14-10,דירה בבית קומות,5,שניה,1970,"19,672 ₪",3
עוזיהו המלך 6,45.5,06/03/2025,"1,150,000 ₪",10743-116-4,דירה בבית קומות,2,ראשונה,1970,"25,556 ₪",2
עוזיהו המלך 6,45.5,04/03/2021,"815,000 ₪",10743-116-4,דירה בבית קומות,2,ראשונה,1970,"25,556 ₪",2
אמציהו המלך 4,98,03/03/2025,"2,550,000 ₪",10751-18-3,דירה בבית קומות,4,שש עשרה,2023,"26,020 ₪",1
אמציהו המלך 7,122,03/03/2025,"2,445,000 ₪",10751-13-100,דירה בבית קומות,5,חמישית,2023,"20,041 ₪",0
אמציהו המלך 4,98,19/02/2025,"2,550,000 ₪",10751-18-4,דירה בבית קומות,4,עשרים ושלוש,2023,"26,020 ₪",1
אמציהו המלך 8,122,13/02/2025,"2,521,000 ₪",10751-17-4,דירה בבית קומות,5,לא ידוע,2023,"20,664 ₪",1
שאול המלך 7,54,12/02/2025,"1,260,000 ₪",10743-100-9,דירה בבית קומות,3,שלישית,1960,"23,333 ₪",4
שלמה המלך 39,39,28/01/2025,"1,245,000 ₪",10743-121-4,דירה בבית קומות,2,שניה,1970,"31,923 ₪",2
שלמה המלך 39,39,09/06/2021,"777,000 ₪",10743-121-4,דירה בבית קומות,2,שניה,1970,"31,923 ₪",2
אמציהו המלך 3,122,23/01/2025,"2,420,000 ₪",10751-14-11,דירה בבית קומות,5,שלישית,1970,"19,836 ₪",3
אמציהו המלך 4,98,22/01/2025,"2,511,000 ₪",10751-18-5,דירה בבית קומות,4,שבע עשרה,2023,"25,622 ₪",1
אסתר המלכה 18,77.4,10/01/2025,"1,350,000 ₪",10751-52-18,דירה בבית קומות,4,חמישית,1970,"17,442 ₪",5
יהושפט המלך 13,51.5,06/01/2025,"880,000 ₪",10743-131-4,דירה בבית קומות,3,שניה,1970,"17,087 ₪",4
אמציהו המלך 8,122,31/12/2024,"2,400,000 ₪",10751-17-5,דירה בבית קומות,5,לא ידוע,2023,"19,672 ₪",1
עוזיהו המלך 3,36,30/12/2024,"1,100,000 ₪",10750-54-15,דירה בבית קומות,2,רביעית,1960,"30,556 ₪",4
עוזיהו המלך 3,36,09/01/2020,"209,000 ₪",10750-54-15,דירה בבית קומות,2,רביעית,1960,"30,556 ₪",4
אמציהו המלך 4,98,26/12/2024,"2,560,000 ₪",10751-18-7,דירה בבית קומות,4,עשרים ושתיים,2023,"26,122 ₪",1
אמציהו המלך 4,98,23/12/2024,"2,565,000 ₪",10751-18-8,דירה בבית קומות,4,עשרים וארבע,2023,"26,173 ₪",1
אמציהו המלך 8,122,23/12/2024,"2,440,000 ₪",10751-17-6,דירה בבית קומות,4,עשרים ושלוש,2027,"20,000 ₪",1
אסתר המלכה 26,98.1,19/12/2024,"1,640,000 ₪",10751-56-5,דירה בבית קומות,4,שלישית,1970,"16,735 ₪",3
אסתר המלכה 26,98.1,23/10/2013,"850,000 ₪",10751-56-5,דירה בבית קומות,4,שלישית,1970,"16,735 ₪",3
אמציהו המלך 8,122,16/12/2024,"2,380,000 ₪",10751-17-8,דירה בבית קומות,5,לא ידוע,2023,"19,508 ₪",1
אמציהו המלך 8,122,12/12/2024,"2,830,000 ₪",10751-17-9,דירה בבית קומות,5,עשרים ושתיים,2023,"23,197 ₪",1
אמציהו המלך 3,127,12/12/2024,"2,460,000 ₪",10751-14-12,דירה בבית קומות,4,ראשונה,1970,"19,370 ₪",3
רבי יהודה הנשיא 2,70.29,06/12/2024,"250,000 ₪",10750-68-57,דירה בבית קומות,3,שניה,1996,"3,557 ₪",3
דוד המלך 20,67.75,04/12/2024,"1,285,000 ₪",10743-193-32,דירה בבית קומות,3,רביעית,1970,"19,179 ₪",4
דוד המלך 20,67.75,02/09/2020,"865,000 ₪",10743-193-32,דירה בבית קומות,3,רביעית,1970,"19,179 ₪",4
דוד המלך 20,67.75,23/07/2013,"500,000 ₪",10743-193-32,דירה בבית קומות,3,רביעית,1970,"19,179 ₪",4
דוד המלך 20,67.75,03/05/2009,"190,000 ₪",10743-193-32,דירה בבית קומות,3,רביעית,1970,"19,179 ₪",4
"אצ""ל 4",5663,03/12/2024,"80,000,000 ₪",10750-73-1,מסחרי + מגורים,לא ידוע,לא ידוע,0,"14,127 ₪",0
אמציהו המלך 3,132,28/11/2024,"2,410,000 ₪",10751-14-13,דירה בבית קומות,5,ראשונה,1970,"18,258 ₪",3
דוד המלך 15,34.5,28/11/2024,"1,200,000 ₪",10743-106-3,דירה בבית קומות,2,ראשונה,1960,"35,294 ₪",2
דוד המלך 15,34.5,14/10/2021,"800,000 ₪",10743-106-3,דירה בבית קומות,2,ראשונה,1960,"35,294 ₪",2
אמציהו המלך 4,126,28/11/2024,"2,830,000 ₪",10751-18-9,דירה בבית קומות,5,שלוש עשרה,2023,"22,460 ₪",1
אמציהו המלך 4,126,25/11/2024,"2,820,000 ₪",10751-18-10,דירה בבית קומות,5,ארבע עשרה,2023,"22,381 ₪",1
שלמה המלך 55,31.5,21/11/2024,"1,115,000 ₪",10750-41-24,דירה בבית קומות,2,ראשונה,1970,"35,968 ₪",3
שלמה המלך 55,31.5,01/03/2023,"925,000 ₪",10750-41-24,דירה בבית קומות,2,ראשונה,1970,"35,968 ₪",3
שאול המלך 9,54,20/11/2024,"1,250,000 ₪",10743-100-25,דירה בבית קומות,3,שלישית,1980,"23,148 ₪",4
שאול המלך 9,54,29/10/2012,"385,000 ₪",10743-100-25,דירה בבית קומות,3,שלישית,1980,"23,148 ₪",4
שאול המלך 9,54,07/09/2010,"255,000 ₪",10743-100-25,דירה בבית קומות,3,שלישית,1980,"23,148 ₪",4
אסא המלך 21,43,14/11/2024,"1,170,000 ₪",10743-177-5,דירה בבית קומות,3,שלישית,1960,"27,209 ₪",3
אמציהו המלך 8,122,13/11/2024,"2,420,000 ₪",10751-17-10,דירה בבית קומות,5,לא ידוע,2023,"19,836 ₪",1
שלמה המלך 29,46.6,10/11/2024,"53,000 ₪",10743-138-3,דירה בבית קומות,3,שניה,1960,"1,137 ₪",3
אמציהו המלך 4,98,28/10/2024,"2,470,000 ₪",10751-18-12,דירה בבית קומות,4,חמש עשרה,2023,"25,204 ₪",1
אמציהו המלך 8,122,08/10/2024,"2,820,000 ₪",10751-17-11,דירה בבית קומות,5,עשרים ושלוש,2023,"23,115 ₪",1
עוזיהו המלך 3,36,06/10/2024,"1,030,000 ₪",10750-54-5,דירה בבית קומות,2,שניה,1960,"28,611 ₪",4
עוזיהו המלך 3,36,20/10/2010,"300,000 ₪",10750-54-5,דירה בבית קומות,2,שניה,1960,"28,611 ₪",4
אסא המלך 21,43,01/10/2024,"916,000 ₪",10743-177-6,דירה בבית קומות,3,שלישית,1960,"21,302 ₪",3
אסא המלך 21,43,22/08/2010,"258,000 ₪",10743-177-6,דירה בבית קומות,3,שלישית,1960,"21,302 ₪",3
אסא המלך 21,43,01/10/2024,חלק נמכר,10743-177-6,דירה בבית קומות,3,שלישית,1960,"21,302 ₪",3
אסא המלך 21,43,מחיר,1,10743-177-6,דירה בבית קומות,3,שלישית,1960,"21,302 ₪",3
אסא המלך 21,43,16%,"146,560 ₪",10743-177-6,דירה בבית קומות,3,שלישית,1960,"21,302 ₪",3
אסא המלך 21,43,2,83%,10743-177-6,דירה בבית קומות,3,שלישית,1960,"21,302 ₪",3
אסא המלך 21,43,"760,280 ₪","916,000 ₪",10743-177-6,דירה בבית קומות,3,שלישית,1960,"21,302 ₪",3
יהואש המלך 19,56,01/10/2024,"1,500,000 ₪",10743-93-23,דירה בבית קומות,3,רביעית,1970,"26,786 ₪",4
אמציהו המלך 4,126,30/09/2024,"2,850,000 ₪",10751-18-13,דירה בבית קומות,5,שש עשרה,2023,"22,619 ₪",1
אמציהו המלך 8,101,30/09/2024,"2,460,000 ₪",10751-17-12,דירה בבית קומות,4,עשרים ושש,2023,"24,356 ₪",1
עוזיהו המלך 10,45.5,26/09/2024,"1,230,000 ₪",10743-115-14,דירה בבית קומות,2.5,שניה,1970,"27,033 ₪",3
אמציהו המלך 8,83,19/09/2024,"2,040,000 ₪",10751-17-13,דירה בבית קומות,4,אחת עשרה,2023,"24,578 ₪",1
אמציהו המלך 3,127,15/09/2024,"2,560,000 ₪",10751-14-14,דירה בבית קומות,5,שניה,1970,"20,157 ₪",3
אמציהו המלך 8,101,12/09/2024,"2,400,000 ₪",10751-17-14,דירה בבית קומות,4,עשרים,2023,"23,762 ₪",1
שלמה המלך 41,39,10/09/2024,"170,000 ₪",10743-120-2,דירה בבית קומות,2,ראשונה,1950,"4,359 ₪",2
אסתר המלכה 31,63.9,09/09/2024,"900,000 ₪",10751-55-6,דירה בבית קומות,3,שלישית,1960,"14,085 ₪",4
אמציהו המלך 3,127,04/09/2024,"2,720,000 ₪",10751-14-15,דירה בבית קומות,5,שלישית,1970,"21,417 ₪",3
יהואש המלך 5,23,22/08/2024,"770,000 ₪",10743-96-3,דירה בבית קומות,1,ראשונה,1960,"33,478 ₪",3
יהואש המלך 5,23,03/01/2018,"400,000 ₪",10743-96-3,דירה בבית קומות,1,ראשונה,1960,"33,478 ₪",3
אמציהו המלך 4,126,20/08/2024,"2,820,000 ₪",10751-18-15,דירה בבית קומות,5,שלוש עשרה,2023,"22,381 ₪",1
אמציהו המלך 8,122,20/08/2024,"2,850,000 ₪",10751-17-15,דירה בבית קומות,5,עשרים וארבע,2023,"23,361 ₪",1
יהושפט המלך 14,106,19/08/2024,"2,355,000 ₪",10743-132-3,דירה בבית קומות,4,ראשונה,1970,"22,217 ₪",2
דוד המלך 23,47,14/08/2024,"960,000 ₪",10743-183-2,דירה בבית קומות,3,ראשונה,1960,"20,426 ₪",2
שלמה המלך 41,39,08/08/2024,"1,080,000 ₪",10743-120-9,דירה בבית קומות,2.5,שניה,1950,"27,692 ₪",2
שלמה המלך 41,39,15/06/2015,"600,000 ₪",10743-120-9,דירה בבית קומות,2.5,שניה,1950,"27,692 ₪",2
שלמה המלך 41,39,18/09/2006,"173,000 ₪",10743-120-9,דירה בבית קומות,2.5,שניה,1950,"27,692 ₪",2
עוזיהו המלך 2,41.5,08/08/2024,"1,100,000 ₪",10743-108-9,דירה בבית קומות,3,שניה,1950,"26,506 ₪",3
יהואש המלך 4,56,06/08/2024,"1,250,000 ₪",10743-99-27,דירה בבית קומות,3,שניה,1960,"22,321 ₪",4
יהואש המלך 4,56,18/02/1999,"365,000 ₪",10743-99-27,דירה בבית קומות,3,שניה,1960,"22,321 ₪",4
חזקיהו המלך 10,51.5,05/08/2024,"1,070,000 ₪",10743-171-13,דירה בבית קומות,3,רביעית,1950,"20,777 ₪",4
עוזיהו המלך 67,70.5,04/08/2024,"1,700,000 ₪",10743-167-7,דירה בבית קומות,3,שלישית,1982,"24,113 ₪",3
יהושפט המלך 14,106,29/07/2024,"2,391,000 ₪",10743-132-7,דירה בבית קומות,4,שניה,1970,"22,557 ₪",2
אמציהו המלך 8,122,29/07/2024,"2,800,000 ₪",10751-17-16,דירה בבית קומות,5,עשרים ואחת,2023,"22,951 ₪",1
אמציהו המלך 4,126,29/07/2024,"2,830,000 ₪",10751-18-16,דירה בבית קומות,5,שבע עשרה,2023,"22,460 ₪",1
שאול המלך 13,50.7,28/07/2024,"1,375,000 ₪",10743-73-16,דירה בבית קומות,3,רביעית,1960,"27,500 ₪",4
שאול המלך 13,50.7,05/12/2018,"849,000 ₪",10743-73-16,דירה בבית קומות,3,רביעית,1960,"27,500 ₪",4
שאול המלך 13,50.7,09/10/2016,"650,000 ₪",10743-73-16,דירה בבית קומות,3,רביעית,1960,"27,500 ₪",4
שאול המלך 13,50.7,02/04/2015,"370,000 ₪",10743-73-16,דירה בבית קומות,3,רביעית,1960,"27,500 ₪",4
אסתר המלכה 18,77.4,25/07/2024,"400,000 ₪",10751-52-10,דירה בבית קומות,4,שלישית,1970,"5,195 ₪",5
אסתר המלכה 18,77.4,10/05/2016,"167,000 ₪",10751-52-10,דירה בבית קומות,4,שלישית,1970,"5,195 ₪",5
שלמה המלך 55,41.5,25/07/2024,"170,000 ₪",10750-41-5,דירה בבית קומות,3,שניה,1970,"4,096 ₪",3
יהושפט המלך 12,972,16/07/2024,"2,553,000 ₪",10743-133-0,קרקע למגורים,לא ידוע,לא ידוע,1970,"2,627 ₪",2
אמציהו המלך 4,98,15/07/2024,"2,470,000 ₪",10751-18-17,דירה בבית קומות,4,ארבע עשרה,2023,"25,204 ₪",1
ללא כתובת,לא ידוע,09/07/2024,"1,051,000 ₪",10743-156-1,קרקע למגורים,לא ידוע,לא ידוע,0,לא ידוע,0
אמציהו המלך 3,98,04/07/2024,"1,850,000 ₪",10751-14-9,דירה בבית קומות,4,תשיעית,1970,"18,878 ₪",3
אמציהו המלך 8,122,27/06/2024,"2,460,000 ₪",10751-17-17,דירה בבית קומות,5,שש עשרה,2023,"20,164 ₪",1
אסא המלך 17,56,24/06/2024,"1,450,000 ₪",10743-178-22,דירה בבית קומות,3,שלישית,1970,"25,893 ₪",4
אמציהו המלך 8,83,24/06/2024,"1,920,000 ₪",10751-17-19,דירה בבית קומות,4,שביעית,2023,"23,133 ₪",1
שלמה המלך 45,39,19/06/2024,"1,300,000 ₪",10743-118-16,דירה בבית קומות,3,ראשונה,1950,"33,333 ₪",2
דוד המלך 28,41.5,18/06/2024,"1,120,000 ₪",10743-109-1,דירה בבית קומות,2.5,ראשונה,1960,"26,988 ₪",3
אמציהו המלך 3,122,05/06/2024,"2,620,000 ₪",10751-14-16,דירה בבית קומות,5,עשרים וארבע,1970,"21,475 ₪",3
אמציהו המלך 4,126,29/05/2024,"2,940,000 ₪",10751-18-18,דירה בבית קומות,5,חמש עשרה,2023,"23,333 ₪",1
אסתר המלכה 10,72,28/05/2024,"1,280,000 ₪",10751-48-5,דירה בבית קומות,4,שניה,1970,"17,778 ₪",5
אמציהו המלך 4,126,23/05/2024,"2,941,000 ₪",10751-18-22,דירה בבית קומות,5,עשרים ושש,2023,"23,341 ₪",1
אמציהו המלך 8,83,22/05/2024,"1,890,000 ₪",10751-17-20,דירה בבית קומות,4,חמישית,2023,"22,771 ₪",1
אמציהו המלך 8,87,15/05/2024,"1,915,000 ₪",10751-17-21,דירה בבית קומות,4,שישית,2023,"22,011 ₪",1
אמציהו המלך 4,126,09/05/2024,"2,941,000 ₪",10751-18-26,דירה בבית קומות,5,עשרים,2023,"23,341 ₪",1
אמציהו המלך 8,122,09/05/2024,"2,555,000 ₪",10751-17-22,דירה בבית קומות,5,חמישית,2023,"20,943 ₪",1
אסתר המלכה 18,65.6,08/05/2024,"1,200,000 ₪",10751-52-16,דירה בבית קומות,3,חמישית,1970,"18,462 ₪",5
יהואש המלך 29,43,30/04/2024,"1,300,000 ₪",10743-91-5,דירה בבית קומות,2,שלישית,1950,"30,233 ₪",3
אמציהו המלך 3,132,15/04/2024,"2,720,000 ₪",10751-14-17,דירה בבית קומות,5,שניה,1970,"20,606 ₪",3
אמציהו המלך 3,121,14/04/2024,"2,420,000 ₪",10751-14-18,דירה בבית קומות,5,ראשונה,1970,"20,000 ₪",3
אמציהו המלך 4,98,31/03/2024,"2,225,000 ₪",10751-18-28,דירה בבית קומות,4,שמונה עשרה,2023,"22,704 ₪",1
יהושפט המלך 12,34.5,28/03/2024,"971,000 ₪",10743-133-7,דירה בבית קומות,1,שניה,1970,"28,145 ₪",2
אמציהו המלך 4,98,28/03/2024,"2,146,000 ₪",10751-18-29,דירה בבית קומות,4,חמש עשרה,2023,"21,898 ₪",1
אמציהו המלך 4,98,27/03/2024,"2,200,000 ₪",10751-18-30,דירה בבית קומות,4,שבע עשרה,2023,"22,449 ₪",1
יהושפט המלך 6,56,27/03/2024,"1,130,000 ₪",10743-134-11,דירה בבית קומות,3,שלישית,1960,"20,179 ₪",3
יהושפט המלך 6,56,22/03/2009,"341,000 ₪",10743-134-11,דירה בבית קומות,3,שלישית,1960,"20,179 ₪",3
אמציהו המלך 4,98,26/03/2024,"2,240,000 ₪",10751-18-31,דירה בבית קומות,4,עשרים ואחת,2023,"22,857 ₪",1
דוד המלך 25,34.5,19/03/2024,"700,000 ₪",10743-182-3,דירה בבית קומות,2,ראשונה,1960,"20,290 ₪",2
חבקוק 7,103.6,19/03/2024,"1,150,000 ₪",10743-167-10,דירה בבית קומות,3.5,ראשונה,1982,"11,100 ₪",3
אמציהו המלך 3,122,18/03/2024,"2,600,000 ₪",10751-14-19,דירה בבית קומות,5,תשע עשרה,1970,"21,311 ₪",3
אמציהו המלך 4,126,17/03/2024,"2,900,000 ₪",10751-18-32,דירה בבית קומות,5,עשרים ואחת,2023,"23,016 ₪",1
אמציהו המלך 3,121,12/03/2024,"2,600,000 ₪",10751-14-22,דירה בבית קומות,5,שבע עשרה,1970,"21,488 ₪",3
אמציהו המלך 8,83,12/03/2024,"2,000,000 ₪",10751-17-23,דירה בבית קומות,4,עשרים ושלוש,2023,"24,096 ₪",1
אמציהו המלך 4,126,12/03/2024,"2,910,000 ₪",10751-18-33,דירה בבית קומות,5,עשרים ושש,2023,"23,095 ₪",1
אמציהו המלך 4,98,11/03/2024,"2,273,000 ₪",10751-18-35,דירה בבית קומות,4,שלוש עשרה,2023,"23,194 ₪",1
יהואש המלך 14,66,10/03/2024,"950,000 ₪",10743-102-28,דירה בבית קומות,3,שלישית,1960,"14,394 ₪",4
שלמה המלך 32,126,07/03/2024,"2,798,000 ₪",10751-20-1,דירה בבית קומות,5,שבע עשרה,2023,"22,206 ₪",0
אמציהו המלך 4,98,05/03/2024,"2,156,000 ₪",10751-18-36,דירה בבית קומות,4,שש עשרה,2023,"22,000 ₪",1
אמציהו המלך 4,126,29/02/2024,"2,381,000 ₪",10751-18-37,דירה בבית קומות,4,עשרים וחמש,2023,"18,897 ₪",1
אמציהו המלך 4,98,28/02/2024,"2,244,000 ₪",10751-18-46,דירה בבית קומות,4,עשרים וחמש,2023,"22,898 ₪",1
אמציהו המלך 4,98,25/02/2024,"2,136,000 ₪",10751-18-47,דירה בבית קומות,4,ארבע עשרה,2023,"21,796 ₪",1
