כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
יד לבנים 125,68.55,06/04/2025,"1,200,000 ₪",10878-61-50,דירה בבית קומות,3,שתים עשרה,1996,"17,647 ₪",13
יד לבנים 125,68.55,22/09/2019,"750,000 ₪",10878-61-50,דירה בבית קומות,3,שתים עשרה,1996,"17,647 ₪",13
נווה גנים 19,61.4,02/04/2025,"1,220,000 ₪",10925-253-92,דירה בבית קומות,3,קומה 3,2012,"20,000 ₪",10
נווה גנים 19,61.4,18/03/2013,"669,000 ₪",10925-253-92,דירה בבית קומות,3,קומה 3,2012,"20,000 ₪",10
ללא כתובת,61,27/03/2025,"1,335,000 ₪",10925-209-3,דירה בבית קומות,3,שלישית,0,"21,885 ₪",0
ערד 2,67.3,20/03/2025,"825,000 ₪",11212-22-28,דירה בבית קומות,3,שביעית,1960,"12,259 ₪",6
תענך 28,61.01,17/03/2025,"1,140,000 ₪",11212-24-155,דירה בבית קומות,3,שביעית,1970,"18,689 ₪",7
תענך 28,61.01,10/11/2019,"585,000 ₪",11212-24-155,דירה בבית קומות,3,שביעית,1970,"18,689 ₪",7
תענך 2,49.9,05/03/2025,"840,000 ₪",11212-21-55,דירה בבית קומות,3,חמישית,1960,"17,143 ₪",7
תענך 2,49.9,28/06/2020,"490,000 ₪",11212-21-55,דירה בבית קומות,3,חמישית,1960,"17,143 ₪",7
תענך 2,49.9,07/06/2009,"284,000 ₪",11212-21-55,דירה בבית קומות,3,חמישית,1960,"17,143 ₪",7
נווה גנים 21,64,02/03/2025,"1,250,000 ₪",10925-253-52,דירה בבית קומות,3,קומה 2,2009,"19,531 ₪",10
נווה גנים 21,64,19/08/2009,"555,000 ₪",10925-253-52,דירה בבית קומות,3,קומה 2,2009,"19,531 ₪",10
ללא כתובת,107,27/02/2025,"1,730,000 ₪",10878-16-5,דירה בבית קומות,4,שביעית,0,"16,168 ₪",0
תענך 38,61.4,24/02/2025,"1,150,000 ₪",10878-62-16,דירה בבית קומות,3,ראשונה,1970,"18,852 ₪",7
תענך 38,61.4,07/03/2021,"580,000 ₪",10878-62-16,דירה בבית קומות,3,ראשונה,1970,"18,852 ₪",7
