כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
התיכון 79,68,06/05/2025,"1,200,000 ₪",10882-105-10,דירה בבית קומות,3,שלישית,1960,"17,647 ₪",3
הבריכה 13,63,24/04/2025,"1,600,000 ₪",10882-118-12,דירה בבית קומות,3,ראשונה,2018,"25,397 ₪",2
חיים בר לב 5,95.2,24/04/2025,"1,750,000 ₪",11212-105-39,דירה בבית קומות,5,רביעית,1995,"18,421 ₪",8
חיים בר לב 5,95.2,25/11/2018,"1,225,000 ₪",11212-105-39,דירה בבית קומות,5,רביעית,1995,"18,421 ₪",8
חיים בר לב 5,95.2,20/07/2015,"1,029,000 ₪",11212-105-39,דירה בבית קומות,5,רביעית,1995,"18,421 ₪",8
מימון 14,51.56,06/04/2025,"1,065,000 ₪",10892-57-9,דירה בבית קומות,3,שלישית,1960,"20,882 ₪",4
מימון 14,51.56,21/03/2010,"470,000 ₪",10892-57-9,דירה בבית קומות,3,שלישית,1960,"20,882 ₪",4
חיים בר לב 21,87.3,31/03/2025,"1,450,000 ₪",11213-117-6,דירה בבית קומות,4,שלישית,1996,"16,667 ₪",5
חיים בר לב 21,87.3,07/10/2015,"1,140,000 ₪",11213-117-6,דירה בבית קומות,4,שלישית,1996,"16,667 ₪",5
נחמיה 13,74.99,31/03/2025,"1,690,000 ₪",10882-94-4,דירה בבית קומות,3,קרקע,1950,"22,536 ₪",1
הגליל 65,88.1,25/03/2025,"1,380,000 ₪",10882-5-6,דירה בבית קומות,3,שניה,1960,"15,682 ₪",2
הגליל 65,88.1,29/05/2008,"525,000 ₪",10882-5-6,דירה בבית קומות,3,שניה,1960,"15,682 ₪",2
אריה דולצ'ין 4,70,23/03/2025,"1,525,000 ₪",11212-104-6,דירה בבית קומות,3,ראשונה,2002,"21,786 ₪",7
התיכון 24,78.6,23/03/2025,"233,000 ₪",12463-6-5,לא ידוע,3,ראשונה,1980,"2,964 ₪",4
מצפה 1,83.65,19/03/2025,"1,595,000 ₪",10882-32-5,דירה בבית קומות,4,שלישית,1970,"19,068 ₪",3
התיכון 5,115,17/03/2025,"2,194,000 ₪",12461-7-8,דירה בבית קומות,5,קומה 0,1960,"19,078 ₪",3
מצפה 36,84.68,12/03/2025,"2,280,000 ₪",11213-2-5,דירה בבית קומות,6,ראשונה,1950,"26,925 ₪",2
חניתה 11,80,11/03/2025,"1,350,000 ₪",11211-74-3,דירה בבית קומות,3,ראשונה,1950,"16,875 ₪",2
חן 75,99.84,11/03/2025,"1,700,000 ₪",11212-26-7,דירה בבית קומות,5,רביעית,1987,"17,172 ₪",7
חן 75,99.84,02/09/2008,"540,000 ₪",11212-26-7,דירה בבית קומות,5,רביעית,1987,"17,172 ₪",7
התיכון 34,25.55,09/03/2025,"765,000 ₪",12465-6-19,דירה בבית קומות,2,שניה,1950,"30,600 ₪",2
התיכון 34,25.55,04/10/2018,"520,000 ₪",12465-6-19,דירה בבית קומות,2,שניה,1950,"30,600 ₪",2
מימון 15,65.03,05/03/2025,"1,325,000 ₪",10892-48-6,דירה בבית קומות,3,שניה,1960,"20,375 ₪",4
אריה דולצ'ין 13,89.8,27/02/2025,"1,350,000 ₪",11213-56-6,דירה בבית קומות,4,שלישית,1997,"15,033 ₪",5
חניתה 27,24.5,25/02/2025,"725,000 ₪",12460-15-21,דירה בבית קומות,1,שניה,1960,"30,208 ₪",4
חניתה 27,24.5,29/10/2019,"625,000 ₪",12460-15-21,דירה בבית קומות,1,שניה,1960,"30,208 ₪",4
חניתה 27,24.5,01/11/2016,"350,000 ₪",12460-15-21,דירה בבית קומות,1,שניה,1960,"30,208 ₪",4
מצפה 27,75,20/02/2025,"1,320,000 ₪",10882-12-12,דירה בבית קומות,3,שניה,1950,"17,600 ₪",3
מצפה 27,75,30/11/2017,"356,000 ₪",10882-12-12,דירה בבית קומות,3,שניה,1950,"17,600 ₪",3
מצפה 27,75,21/11/2013,"1,818,000 ₪",10882-12-12,דירה בבית קומות,3,שניה,1950,"17,600 ₪",3
גלבוע 7,59.02,17/02/2025,"1,455,000 ₪",10885-66-4,דירה בבית קומות,2.5,ראשונה,1950,"24,653 ₪",1
התיכון 72,69.15,16/02/2025,"1,660,000 ₪",10882-110-2,דירה בבית קומות,3,קרקע,1960,"24,058 ₪",2
התיכון 72,69.15,26/06/2022,"1,322,900 ₪",10882-110-2,דירה בבית קומות,3,קרקע,1960,"24,058 ₪",2
מימון 20,54,12/02/2025,"1,263,000 ₪",10892-58-4,דירה בבית קומות,3,שניה,1960,"23,389 ₪",5
מימון 20,54,20/02/2017,"880,000 ₪",10892-58-4,דירה בבית קומות,3,שניה,1960,"23,389 ₪",5
התיכון 5,115,05/02/2025,"3,101,000 ₪",12461-6-5,דירה בבית קומות,5,שלישית,2017,"26,965 ₪",2
התיכון 5,115,08/02/2017,"1,666,600 ₪",12461-6-5,דירה בבית קומות,5,שלישית,2017,"26,965 ₪",2
התיכון 5,115,05/02/2025,חלק נמכר,12461-6-5,דירה בבית קומות,5,שלישית,2017,"26,965 ₪",2
התיכון 5,115,מחיר,1,12461-6-5,דירה בבית קומות,5,שלישית,2017,"26,965 ₪",2
התיכון 5,115,33%,"1,023,330 ₪",12461-6-5,דירה בבית קומות,5,שלישית,2017,"26,965 ₪",2
התיכון 5,115,2,33%,12461-6-5,דירה בבית קומות,5,שלישית,2017,"26,965 ₪",2
התיכון 5,115,"1,023,330 ₪",3,12461-6-5,דירה בבית קומות,5,שלישית,2017,"26,965 ₪",2
חניתה 27,31.6,03/02/2025,"1,000,000 ₪",12460-15-2,דירה בבית קומות,2,ראשונה,1960,"32,258 ₪",4
חניתה 27,31.6,28/04/2009,"275,000 ₪",12460-15-2,דירה בבית קומות,2,ראשונה,1960,"32,258 ₪",4
אריה דולצ'ין 4,79,03/02/2025,"1,650,000 ₪",11212-104-2,דירה בבית קומות,4,קרקע,2002,"20,886 ₪",7
גלבוע 9,70,30/01/2025,"1,484,800 ₪",10885-67-3,דירה בבית קומות,3,ראשונה,1950,"21,211 ₪",2
פינסקר 14,76.3,29/01/2025,"1,500,000 ₪",10885-63-7,דירה בבית קומות,4,שניה,1960,"19,659 ₪",3
חן 21,52,29/01/2025,"1,235,000 ₪",10878-19-5,דירה בבית קומות,2,שלישית,1960,"23,750 ₪",4
הגליל 34,62.77,28/01/2025,"1,275,500 ₪",12462-10-6,דירה בבית קומות,3,שניה,1950,"20,573 ₪",2
הגליל 34,62.77,05/07/2012,"810,000 ₪",12462-10-6,דירה בבית קומות,3,שניה,1950,"20,573 ₪",2
הגליל 34,62.77,28/01/2025,חלק נמכר,12462-10-6,דירה בבית קומות,3,שניה,1950,"20,573 ₪",2
הגליל 34,62.77,מחיר,1,12462-10-6,דירה בבית קומות,3,שניה,1950,"20,573 ₪",2
הגליל 34,62.77,14%,"178,570 ₪",12462-10-6,דירה בבית קומות,3,שניה,1950,"20,573 ₪",2
הגליל 34,62.77,2,14%,12462-10-6,דירה בבית קומות,3,שניה,1950,"20,573 ₪",2
הגליל 34,62.77,"178,570 ₪",3,12462-10-6,דירה בבית קומות,3,שניה,1950,"20,573 ₪",2
הגליל 34,62.77,4,14%,12462-10-6,דירה בבית קומות,3,שניה,1950,"20,573 ₪",2
הגליל 34,62.77,"178,570 ₪",5,12462-10-6,דירה בבית קומות,3,שניה,1950,"20,573 ₪",2
הגליל 34,62.77,6,28%,12462-10-6,דירה בבית קומות,3,שניה,1950,"20,573 ₪",2
הגליל 34,62.77,"357,140 ₪","1,275,500 ₪",12462-10-6,דירה בבית קומות,3,שניה,1950,"20,573 ₪",2
חן 33,70,23/01/2025,"1,300,000 ₪",10878-76-52,דירה בבית קומות,3,ראשונה,2002,"18,571 ₪",9
חן 33,70,28/08/2019,"862,000 ₪",10878-76-52,דירה בבית קומות,3,ראשונה,2002,"18,571 ₪",9
הגליל 138,99,23/01/2025,"2,170,000 ₪",12448-8-52,דירה בבית קומות,5,שניה,2010,"21,919 ₪",16
אריה דולצ'ין 13,126.05,21/01/2025,"1,780,000 ₪",11213-56-10,דירה בבית קומות,4,חמישית + שישית,1997,"14,121 ₪",5
התיכון 34,25,19/01/2025,"690,000 ₪",12465-6-18,לא ידוע,1,ראשונה,1950,"27,600 ₪",2
התיכון 34,25,22/01/2013,"510,000 ₪",12465-6-18,לא ידוע,1,ראשונה,1950,"27,600 ₪",2
התיכון 34,25,02/10/2011,"370,000 ₪",12465-6-18,לא ידוע,1,ראשונה,1950,"27,600 ₪",2
התיכון 34,25,31/01/2002,"285,000 ₪",12465-6-18,לא ידוע,1,ראשונה,1950,"27,600 ₪",2
מימון 15,65.03,15/01/2025,"1,050,000 ₪",10892-48-8,דירה בבית קומות,3,שלישית,1960,"16,146 ₪",4
חניתה 57,48.7,14/01/2025,"1,371,000 ₪",10882-153-20,דירה בבית קומות,2,ראשונה,1960,"28,562 ₪",2
חניתה 57,48.7,24/12/2018,"1,010,000 ₪",10882-153-20,דירה בבית קומות,2,ראשונה,1960,"28,562 ₪",2
חניתה 57,48.7,30/01/2017,"283,000 ₪",10882-153-20,דירה בבית קומות,2,ראשונה,1960,"28,562 ₪",2
חניתה 57,48.7,24/10/1999,"597,000 ₪",10882-153-20,דירה בבית קומות,2,ראשונה,1960,"28,562 ₪",2
