כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
אוסקר שינדלר 6,114.15,29/04/2025,"2,530,000 ₪",12286-180-66,דירה בבית קומות,4,שתים עשרה,2010,"22,193 ₪",20
אוסקר שינדלר 6,114.15,02/03/2012,"1,669,000 ₪",12286-180-66,דירה בבית קומות,4,שתים עשרה,2010,"22,193 ₪",20
מנדל זינגר 20,83,31/03/2025,"1,600,000 ₪",11203-36-54,דירה בבית קומות,3,עשירית,2000,"19,277 ₪",11
מנדל זינגר 20,83,18/04/2016,"1,312,000 ₪",11203-36-54,דירה בבית קומות,3,עשירית,2000,"19,277 ₪",11
מנדל זינגר 20,83,03/12/1998,"1,023,000 ₪",11203-36-54,דירה בבית קומות,3,עשירית,2000,"19,277 ₪",11
אבא חושי 149,102.55,12/03/2025,"1,900,000 ₪",12286-180-90,דירה בבית קומות,3,קרקע,2013,"18,627 ₪",19
אבא חושי 149,102.55,09/06/2015,"1,450,000 ₪",12286-180-90,דירה בבית קומות,3,קרקע,2013,"18,627 ₪",19
אוסקר שינדלר 6,84.2,11/03/2025,"1,840,000 ₪",12286-180-191,דירה בבית קומות,3,ראשונה,2010,"21,905 ₪",20
אוסקר שינדלר 6,84.2,13/07/2017,"1,200,000 ₪",12286-180-191,דירה בבית קומות,3,ראשונה,2010,"21,905 ₪",20
אוסקר שינדלר 4,153.36,31/01/2025,"3,680,000 ₪",12286-191-89,דירה בבית קומות,5,קומה 3,2012,"23,996 ₪",16
אוסקר שינדלר 6,88.31,26/01/2025,"2,075,000 ₪",12286-180-54,דירה בבית קומות,3,עשירית,2010,"23,580 ₪",20
אוסקר שינדלר 6,88.31,17/11/2019,"1,550,000 ₪",12286-180-54,דירה בבית קומות,3,עשירית,2010,"23,580 ₪",20
אוסקר שינדלר 6,88.31,20/05/2013,"1,540,000 ₪",12286-180-54,דירה בבית קומות,3,עשירית,2010,"23,580 ₪",20
הזז חיים 5,98.61,20/01/2025,"1,590,000 ₪",11203-35-28,דירה בבית קומות,4,עשירית,1995,"16,124 ₪",9
אוסקר שינדלר 6,148.5,26/12/2024,"3,800,000 ₪",12286-180-244,לא ידוע,5,עשירית,2010,"25,589 ₪",20
יהושע גולברמן 5,121.2,14/11/2024,"2,850,000 ₪",12695-25-85,דירה בבית קומות,5,קומה 2,2016,"23,515 ₪",20
זינגר מנדל 14,109.81,14/11/2024,"2,150,000 ₪",11203-54-3,דירה בבית קומות,4,שלישית,1992,"19,579 ₪",9
הזז חיים 5,98.85,13/11/2024,"1,700,000 ₪",11203-35-24,דירה בבית קומות,4,תשיעית,1995,"17,198 ₪",9
יעקב אורלנד 14,102.3,10/11/2024,"2,900,000 ₪",12695-23-3,דירה בבית קומות,5,ראשונה,2004,"28,431 ₪",9
יעקב אורלנד 14,102.3,31/07/2019,"2,490,000 ₪",12695-23-3,דירה בבית קומות,5,ראשונה,2004,"28,431 ₪",9
יעקב אורלנד 14,102.3,18/06/2015,"2,300,000 ₪",12695-23-3,דירה בבית קומות,5,ראשונה,2004,"28,431 ₪",9
יעקב אורלנד 14,102.3,24/11/2004,"1,146,000 ₪",12695-23-3,דירה בבית קומות,5,ראשונה,2004,"28,431 ₪",9
אוסקר שינדלר 3,115.2,07/11/2024,"2,175,000 ₪",11203-67-36,דירה בבית קומות,4,שישית,2013,"18,913 ₪",19
אוסקר שינדלר 3,115.2,19/10/2014,"1,880,000 ₪",11203-67-36,דירה בבית קומות,4,שישית,2013,"18,913 ₪",19
מיכאל קשטן 3,117.11,29/10/2024,"2,700,000 ₪",11203-32-6,דירה בבית קומות,5,שלישית,1998,"23,077 ₪",14
מיכאל קשטן 3,117.11,07/03/2021,"1,950,000 ₪",11203-32-6,דירה בבית קומות,5,שלישית,1998,"23,077 ₪",14
