כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
התורן 16,63.7,10/04/2025,"1,480,000 ₪",11672-20-9,דירה בבית קומות,2.5,ראשונה,1950,"23,234 ₪",3
יאיר שטרן 13,116,28/03/2025,"2,200,000 ₪",10802-159-33,דירה בבית קומות,5,קרקע,1960,"18,966 ₪",4
יאיר שטרן 13,116,19/05/2024,"1,810,000 ₪",10802-159-33,דירה בבית קומות,5,קרקע,1960,"18,966 ₪",4
יאיר שטרן 13,116,26/05/2019,"1,290,000 ₪",10802-159-33,דירה בבית קומות,5,קרקע,1960,"18,966 ₪",4
יאיר שטרן 13,116,10/01/2018,"1,699,000 ₪",10802-159-33,דירה בבית קומות,5,קרקע,1960,"18,966 ₪",4
יאיר שטרן 13,116,10/07/2017,"1,400,000 ₪",10802-159-33,דירה בבית קומות,5,קרקע,1960,"18,966 ₪",4
התורן 22,63.7,27/01/2025,"1,500,000 ₪",11672-18-17,דירה בבית קומות,2.5,שניה,1950,"23,810 ₪",3
התורן 22,63.7,28/10/2010,"385,000 ₪",11672-18-17,דירה בבית קומות,2.5,שניה,1950,"23,810 ₪",3
גנרל קניג פייר 1,83.8,12/01/2025,"1,300,000 ₪",10906-301-12,דירה בבית קומות,4,רביעית,1998,"15,663 ₪",8
גנרל קניג פייר 1,83.8,23/09/2008,"350,000 ₪",10906-301-12,דירה בבית קומות,4,רביעית,1998,"15,663 ₪",8
העוגן 13,41.28,24/12/2024,"930,000 ₪",10802-64-2,דירה בבית קומות,3,ראשונה ושניה,1950,"22,683 ₪",1
העוגן 13,41.28,06/01/2006,"262,000 ₪",10802-64-2,דירה בבית קומות,3,ראשונה ושניה,1950,"22,683 ₪",1
התורן 36,61.24,19/12/2024,"2,000,000 ₪",11672-13-1,דירה בבית קומות,3,ראשונה,1950,"32,658 ₪",4
התורן 14,61.24,05/12/2024,"1,390,000 ₪",11672-21-14,דירה בבית קומות,2,שלישית,1950,"22,698 ₪",4
התורן 8,61.24,17/11/2024,"1,505,000 ₪",11672-25-19,דירה בבית קומות,2.5,שניה,1960,"24,575 ₪",4
גנרל קניג פייר 1,77.6,29/10/2024,"400,000 ₪",10906-301-18,דירה בבית קומות,3,חמישית,1998,"5,195 ₪",8
גנרל קניג פייר 1,77.6,26/04/1998,"609,000 ₪",10906-301-18,דירה בבית קומות,3,חמישית,1998,"5,195 ₪",8
גנרל קניג פייר 1,77.6,29/10/2024,חלק נמכר,10906-301-18,דירה בבית קומות,3,חמישית,1998,"5,195 ₪",8
גנרל קניג פייר 1,77.6,מחיר,1,10906-301-18,דירה בבית קומות,3,חמישית,1998,"5,195 ₪",8
גנרל קניג פייר 1,77.6,25%,"100,000 ₪",10906-301-18,דירה בבית קומות,3,חמישית,1998,"5,195 ₪",8
גנרל קניג פייר 1,77.6,2,25%,10906-301-18,דירה בבית קומות,3,חמישית,1998,"5,195 ₪",8
גנרל קניג פייר 1,77.6,"100,000 ₪",3,10906-301-18,דירה בבית קומות,3,חמישית,1998,"5,195 ₪",8
גנרל קניג פייר 1,77.6,4,25%,10906-301-18,דירה בבית קומות,3,חמישית,1998,"5,195 ₪",8
גנרל קניג פייר 1,77.6,"100,000 ₪","400,000 ₪",10906-301-18,דירה בבית קומות,3,חמישית,1998,"5,195 ₪",8
