כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
אחווה 18,76.96,21/03/2025,"1,250,000 ₪",10917-103-6,דירה בבית קומות,3,ראשונה,1990,"16,242 ₪",11
אחווה 25,49.2,17/03/2025,"1,000,000 ₪",10917-76-51,דירה בבית קומות,3,ראשונה,1960,"20,408 ₪",4
אחווה 25,49.2,13/09/2016,"670,000 ₪",10917-76-51,דירה בבית קומות,3,ראשונה,1960,"20,408 ₪",4
אחווה 25,49.2,23/09/2001,"370,000 ₪",10917-76-51,דירה בבית קומות,3,ראשונה,1960,"20,408 ₪",4
שדה יצחק 34,61.5,12/03/2025,"92,000 ₪",10825-69-30,דירה בבית קומות,3,שלישית,1960,"1,508 ₪",4
רוטשילד 49,61.5,18/02/2025,"1,375,000 ₪",10825-45-12,דירה בבית קומות,3,שניה,1960,"22,541 ₪",4
אחווה 18,86.62,17/02/2025,"1,390,000 ₪",10917-103-21,דירה בבית קומות,4,רביעית,1990,"16,047 ₪",11
תל אביב 44,49,27/01/2025,"700,000 ₪",10917-6-69,דירה בבית קומות,2,שלישית,1970,"14,286 ₪",0
תל אביב 44,49,11/03/2013,"460,000 ₪",10917-6-69,דירה בבית קומות,2,שלישית,1970,"14,286 ₪",0
תל אביב 44,49,18/12/2012,"189,000 ₪",10917-6-69,דירה בבית קומות,2,שלישית,1970,"14,286 ₪",0
תל אביב 44,49,08/09/2009,"265,000 ₪",10917-6-69,דירה בבית קומות,2,שלישית,1970,"14,286 ₪",0
רוטשילד 9,74.65,23/01/2025,"1,247,400 ₪",10917-5-64,דירה בבית קומות,3,שניה,1960,"16,710 ₪",4
אחז 3,51,16/12/2024,"928,000 ₪",10825-62-4,דירה בבית קומות,2,שניה,1940,"18,196 ₪",3
המגינים 139,57.07,19/11/2024,"1,100,000 ₪",10825-98-28,דירה בבית קומות,3,שישית,1985,"19,298 ₪",9
המגינים 139,57.07,02/01/2004,"422,000 ₪",10825-98-28,דירה בבית קומות,3,שישית,1985,"19,298 ₪",9
המגינים 139,57.07,19/11/2024,חלק נמכר,10825-98-28,דירה בבית קומות,3,שישית,1985,"19,298 ₪",9
המגינים 139,57.07,מחיר,1,10825-98-28,דירה בבית קומות,3,שישית,1985,"19,298 ₪",9
המגינים 139,57.07,33%,"363,000 ₪",10825-98-28,דירה בבית קומות,3,שישית,1985,"19,298 ₪",9
המגינים 139,57.07,2,33%,10825-98-28,דירה בבית קומות,3,שישית,1985,"19,298 ₪",9
המגינים 139,57.07,"363,000 ₪",3,10825-98-28,דירה בבית קומות,3,שישית,1985,"19,298 ₪",9
