כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
הרב כלפון 16,48,19/05/2025,"1,015,000 ₪",10814-8-8,דירה בבית קומות,3,שלישית,1960,"21,146 ₪",4
הרב כלפון 16,48,08/05/2018,"675,000 ₪",10814-8-8,דירה בבית קומות,3,שלישית,1960,"21,146 ₪",4
אלנבי 123,79,08/05/2025,"1,890,000 ₪",10814-48-126,דירה בבית קומות,4,שש עשרה,1970,"23,924 ₪",16
אלנבי 123,79,12/12/2015,"1,100,000 ₪",10814-48-126,דירה בבית קומות,4,שש עשרה,1970,"23,924 ₪",16
אלנבי 123,79,11/06/2010,"600,000 ₪",10814-48-126,דירה בבית קומות,4,שש עשרה,1970,"23,924 ₪",16
ללא כתובת,80,09/04/2025,"1,850,000 ₪",10916-84-7,דירה בבית קומות,3,חמש עשרה,0,"23,125 ₪",0
אלנבי 131,53,06/04/2025,"1,020,000 ₪",10814-25-3,דירה בבית קומות,2.5,שניה,1960,"19,245 ₪",4
אלנבי 131,53,27/05/2018,"800,000 ₪",10814-25-3,דירה בבית קומות,2.5,שניה,1960,"19,245 ₪",4
אלנבי 131,53,08/03/2010,"442,000 ₪",10814-25-3,דירה בבית קומות,2.5,שניה,1960,"19,245 ₪",4
אלנבי 131,53,30/11/1998,"360,000 ₪",10814-25-3,דירה בבית קומות,2.5,שניה,1960,"19,245 ₪",4
מאירהוף 7,81.71,23/03/2025,"1,550,000 ₪",10916-26-50,דירה בבית קומות,4,תשיעית,1960,"19,136 ₪",21
מאירהוף 7,81.71,06/08/2014,"1,000,000 ₪",10916-26-50,דירה בבית קומות,4,תשיעית,1960,"19,136 ₪",21
מאירהוף 7,81.71,23/03/2025,חלק נמכר,10916-26-50,דירה בבית קומות,4,תשיעית,1960,"19,136 ₪",21
מאירהוף 7,81.71,מחיר,1,10916-26-50,דירה בבית קומות,4,תשיעית,1960,"19,136 ₪",21
מאירהוף 7,81.71,25%,"387,500 ₪",10916-26-50,דירה בבית קומות,4,תשיעית,1960,"19,136 ₪",21
מאירהוף 7,81.71,2,25%,10916-26-50,דירה בבית קומות,4,תשיעית,1960,"19,136 ₪",21
מאירהוף 7,81.71,"387,500 ₪",3,10916-26-50,דירה בבית קומות,4,תשיעית,1960,"19,136 ₪",21
מאירהוף 7,81.71,4,25%,10916-26-50,דירה בבית קומות,4,תשיעית,1960,"19,136 ₪",21
מאירהוף 7,81.71,"387,500 ₪","1,550,000 ₪",10916-26-50,דירה בבית קומות,4,תשיעית,1960,"19,136 ₪",21
"ש""י עגנון 38",60.5,18/03/2025,"1,220,000 ₪",10913-32-13,דירה בבית קומות,3,שלישית,1970,"20,333 ₪",4
"ש""י עגנון 38",60.5,18/08/2022,"800,000 ₪",10913-32-13,דירה בבית קומות,3,שלישית,1970,"20,333 ₪",4
"ש""י עגנון 38",60.5,15/02/2003,"285,000 ₪",10913-32-13,דירה בבית קומות,3,שלישית,1970,"20,333 ₪",4
"ש""י עגנון 38",60.5,10/07/2002,"401,000 ₪",10913-32-13,דירה בבית קומות,3,שלישית,1970,"20,333 ₪",4
"ש""י עגנון 38",60.5,17/12/2001,"296,000 ₪",10913-32-13,דירה בבית קומות,3,שלישית,1970,"20,333 ₪",4
סטלה מריס 26,58.05,18/03/2025,"1,025,000 ₪",10913-14-45,דירה בבית קומות,3,ראשונה,1960,"17,672 ₪",6
סטלה מריס 26,58.05,17/01/2016,"840,000 ₪",10913-14-45,דירה בבית קומות,3,ראשונה,1960,"17,672 ₪",6
אלנבי 131,53,12/03/2025,"1,030,000 ₪",10814-25-13,דירה בבית קומות,3,שלישית,1960,"19,434 ₪",4
