כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
ללא כתובת,106,27/05/2009,"870,000 ₪",11205-1-6,דירה בבית קומות,4,לא ידוע,0,"8,208 ₪",0
ללא כתובת,70,27/10/2008,"525,000 ₪",11205-1-7,דירה בבית קומות,3.5,שלישית,0,"7,500 ₪",0
ללא כתובת,130,20/04/2007,"1,000,000 ₪",11203-1-1,דירה בבית קומות,5,שבע עשרה,0,"7,692 ₪",0
ללא כתובת,150,04/11/2005,"1,122,000 ₪",11205-1-5,דירה בבית קומות,6,לא ידוע,0,"7,480 ₪",0
ללא כתובת,85,19/01/2005,"872,000 ₪",11203-3-1,דירה בבית קומות,4,ראשונה,0,"10,259 ₪",0
ללא כתובת,85,11/12/2003,"570,000 ₪",11205-1-8,דירה בבית קומות,4,רביעית,0,"6,706 ₪",0
ללא כתובת,85,12/02/2003,"680,000 ₪",11205-1-4,לא ידוע,3,תשיעית,0,"8,000 ₪",0
ללא כתובת,121,13/10/2002,"1,012,000 ₪",11205-1-9,לא ידוע,5,ראשונה,0,"8,364 ₪",0
ללא כתובת,95,23/05/2002,"1,030,000 ₪",11205-1-3,לא ידוע,4,שלישית,0,"10,842 ₪",0
ללא כתובת,110,22/11/2001,"875,000 ₪",11205-1-2,לא ידוע,4,שלישית,0,"7,955 ₪",0
ללא כתובת,91,23/06/2000,"757,000 ₪",11205-1-1,לא ידוע,4,שישית,0,"8,319 ₪",0
ללא כתובת,145,08/06/2000,"960,000 ₪",11205-1-10,לא ידוע,6,לא ידוע,0,"6,621 ₪",0
ללא כתובת,75,13/04/1999,"860,000 ₪",11203-6-1,דירה בבית קומות,3,לא ידוע,0,"11,467 ₪",0
