כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
הראשונים 6,128.93,11/05/2025,"2,190,000 ₪",11575-60-3,דירה בבית קומות,5,קרקע ראשונה,1992,"17,109 ₪",2
הראשונים 6,128.93,16/06/2021,"1,410,000 ₪",11575-60-3,דירה בבית קומות,5,קרקע ראשונה,1992,"17,109 ₪",2
הראשונים 6,128.93,26/02/2017,"1,450,000 ₪",11575-60-3,דירה בבית קומות,5,קרקע ראשונה,1992,"17,109 ₪",2
הראשונים 6,128.93,22/12/2013,"1,210,000 ₪",11575-60-3,דירה בבית קומות,5,קרקע ראשונה,1992,"17,109 ₪",2
משה שרת 14,85.9,06/05/2025,"1,130,000 ₪",11585-7-3,דירה בבית קומות,4,שניה,1970,"13,155 ₪",3
הגדוד העברי 43,89.69,23/04/2025,"1,320,000 ₪",11581-99-5,דירה בבית קומות,4,שלישית,1980,"14,831 ₪",2
הגדוד העברי 43,89.69,25/07/2016,"800,000 ₪",11581-99-5,דירה בבית קומות,4,שלישית,1980,"14,831 ₪",2
הנוטר 30,116.22,11/04/2025,"1,675,000 ₪",11580-40-5,דירה בבית קומות,5,"קרקע,ראשונה",1960,"14,440 ₪",3
הנוטר 30,116.22,12/01/2018,"1,099,000 ₪",11580-40-5,דירה בבית קומות,5,"קרקע,ראשונה",1960,"14,440 ₪",3
הנוטר 30,116.22,14/10/2013,"980,000 ₪",11580-40-5,דירה בבית קומות,5,"קרקע,ראשונה",1960,"14,440 ₪",3
הנוטר 30,116.22,01/03/2005,"639,000 ₪",11580-40-5,דירה בבית קומות,5,"קרקע,ראשונה",1960,"14,440 ₪",3
אלכסנדר זייד 108,66.81,09/04/2025,"1,270,000 ₪",11565-13-1,דירה בבית קומות,3,ראשונה,1960,"19,242 ₪",2
אלכסנדר זייד 108,66.81,20/11/2008,"485,000 ₪",11565-13-1,דירה בבית קומות,3,ראשונה,1960,"19,242 ₪",2
אלכסנדר זייד 108,66.81,16/06/1999,"489,000 ₪",11565-13-1,דירה בבית קומות,3,ראשונה,1960,"19,242 ₪",2
יעקב כאהן 7,112,08/04/2025,"2,010,000 ₪",11586-81-12,דירה בבית קומות,5,שניה,2019,"17,946 ₪",5
אהרון צייטלין 39,63,06/04/2025,"800,000 ₪",11585-187-80,דירה בבית קומות,3,רביעית,1970,"12,698 ₪",4
ציפר 27,80.97,27/03/2025,"1,525,000 ₪",11584-11-3,דירה בבית קומות,4,ראשונה,2001,"18,834 ₪",3
הראשונים 60,109.83,26/03/2025,"650,000 ₪",11581-72-7,דירה בבית קומות,4,שניה שלישית ורביעית,1979,"5,963 ₪",1
הראשונים 60,109.83,20/11/2018,"1,000,000 ₪",11581-72-7,דירה בבית קומות,4,שניה שלישית ורביעית,1979,"5,963 ₪",1
הראשונים 60,109.83,06/04/2016,"1,520,000 ₪",11581-72-7,דירה בבית קומות,4,שניה שלישית ורביעית,1979,"5,963 ₪",1
חומה ומגדל 62,106.6,26/03/2025,"1,930,000 ₪",11539-2-3,דירה בבית קומות,4,ראשונה,2012,"18,208 ₪",3
חומה ומגדל 62,106.6,27/06/2018,"1,265,000 ₪",11539-2-3,דירה בבית קומות,4,ראשונה,2012,"18,208 ₪",3
הפלוגות 53,82,24/03/2025,"1,350,000 ₪",11570-134-3,דירה בבית קומות,3,ראשונה,1950,"16,463 ₪",1
הפלוגות 33,38,24/03/2025,"1,100,000 ₪",11563-111-5,דירה בבית קומות,2,קרקע,1960,"28,947 ₪",1
הראשונים 24,93.1,24/03/2025,"1,315,000 ₪",11575-69-8,דירה בבית קומות,4,שלישית,1970,"14,140 ₪",3
הראשונים 24,93.1,06/06/2017,"1,075,000 ₪",11575-69-8,דירה בבית קומות,4,שלישית,1970,"14,140 ₪",3
הראשונים 24,93.1,11/07/2013,"775,000 ₪",11575-69-8,דירה בבית קומות,4,שלישית,1970,"14,140 ₪",3
הראשונים 24,93.1,25/08/2010,"600,000 ₪",11575-69-8,דירה בבית קומות,4,שלישית,1970,"14,140 ₪",3
הראשונים 24,93.1,06/08/2007,"446,000 ₪",11575-69-8,דירה בבית קומות,4,שלישית,1970,"14,140 ₪",3
הראשונים 24,93.1,14/10/2004,"459,000 ₪",11575-69-8,דירה בבית קומות,4,שלישית,1970,"14,140 ₪",3
שבטי ישראל 58,36.5,20/03/2025,"950,000 ₪",11539-81-14,דירה בבית קומות,2.5,שניה,1960,"26,389 ₪",3
שבטי ישראל 58,36.5,20/05/2015,"510,000 ₪",11539-81-14,דירה בבית קומות,2.5,שניה,1960,"26,389 ₪",3
שבטי ישראל 58,36.5,15/12/2006,"204,000 ₪",11539-81-14,דירה בבית קומות,2.5,שניה,1960,"26,389 ₪",3
אלישבע קפלן 32,80.86,20/03/2025,"1,600,000 ₪",11582-61-1,דירה בבית קומות,3,קרקע,1999,"20,000 ₪",3
אלישבע קפלן 32,80.86,10/04/2001,"625,000 ₪",11582-61-1,דירה בבית קומות,3,קרקע,1999,"20,000 ₪",3
הראשונים 30,97.34,17/03/2025,"1,510,000 ₪",11575-72-5,דירה בבית קומות,4,שניה,1980,"15,567 ₪",3
הראשונים 30,97.34,24/08/2016,"1,010,000 ₪",11575-72-5,דירה בבית קומות,4,שניה,1980,"15,567 ₪",3
הראשונים 30,97.34,24/07/2005,"464,000 ₪",11575-72-5,דירה בבית קומות,4,שניה,1980,"15,567 ₪",3
בן צבי יצחק 64,60.09,16/03/2025,"1,010,000 ₪",11586-121-7,דירה בבית קומות,3,רביעית,1960,"16,833 ₪",4
בן צבי יצחק 64,60.09,07/11/2017,"510,000 ₪",11586-121-7,דירה בבית קומות,3,רביעית,1960,"16,833 ₪",4
ששת הימים 58,73,14/03/2025,"2,410,000 ₪",11570-28-4,דירה בבית קומות,3,לא ידוע,1948,"33,014 ₪",2
שבטי ישראל 57,89.55,12/03/2025,"373,000 ₪",11539-27-1,דירה בבית קומות,4,ראשונה,1970,"4,165 ₪",3
חומה ומגדל 35,110.75,12/03/2025,"1,800,000 ₪",11584-64-6,דירה בבית קומות,5.5,שלישית,1980,"16,253 ₪",2
