כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
זלמן ארן 48,150,23/04/2025,"2,450,000 ₪",11567-35-3,דירה בבית קומות,6,קרקע,1950,"16,333 ₪",1
כברי 6,61.3,25/03/2025,"1,180,000 ₪",11572-239-7,דירה בבית קומות,3,שניה,1970,"19,344 ₪",8
כברי 6,61.3,16/09/2015,"665,000 ₪",11572-239-7,דירה בבית קומות,3,שניה,1970,"19,344 ₪",8
כברי 6,61.3,09/11/2009,"340,000 ₪",11572-239-7,דירה בבית קומות,3,שניה,1970,"19,344 ₪",8
הארזים 5,70,24/03/2025,"1,460,000 ₪",11571-128-3,דירה בבית קומות,3,ראשונה,1960,"20,857 ₪",2
"מח""ל 9",49,23/03/2025,"1,060,000 ₪",11567-624-8,דירה בבית קומות,3,רביעית,1960,"21,633 ₪",4
"מח""ל 13",49,19/03/2025,"1,130,000 ₪",11567-620-6,דירה בבית קומות,3,שלישית,1960,"23,061 ₪",4
"מח""ל 13",49,09/10/2002,"362,000 ₪",11567-620-6,דירה בבית קומות,3,שלישית,1960,"23,061 ₪",4
"מח""ל 13",49,07/06/1998,"317,000 ₪",11567-620-6,דירה בבית קומות,3,שלישית,1960,"23,061 ₪",4
בית אלפא 13,95,11/03/2025,"1,250,000 ₪",11567-351-3,דירה בבית קומות,4,ראשונה,1950,"13,158 ₪",1
ורבורג 11,47,09/03/2025,"980,000 ₪",11572-213-7,דירה בבית קומות,3,רביעית,1960,"20,851 ₪",4
ורבורג 11,47,31/05/2016,"500,000 ₪",11572-213-7,דירה בבית קומות,3,רביעית,1960,"20,851 ₪",4
ורבורג 11,47,22/06/2014,"375,000 ₪",11572-213-7,דירה בבית קומות,3,רביעית,1960,"20,851 ₪",4
יוסף בוסל 65,200,06/03/2025,"2,900,000 ₪",11567-163-2,דירה בבית קומות,5,לא ידוע,1970,"14,500 ₪",2
"מח""ל 41",101,06/03/2025,"2,748,000 ₪",11567-593-27,דירה בבית קומות,4,שניה,1960,"27,208 ₪",4
"מח""ל 41",101,2010-08-26,"350,000 ₪",11567-593-27,דירה בבית קומות,4,שניה,1960,"27,208 ₪",4
דגניה 15,49.7,05/03/2025,"1,080,000 ₪",11571-169-10,דירה בבית קומות,3,שלישית,1960,"22,041 ₪",4
דגניה 15,49.7,23/02/2020,"587,000 ₪",11571-169-10,דירה בבית קומות,3,שלישית,1960,"22,041 ₪",4
דגניה 15,49.7,07/09/2016,"530,000 ₪",11571-169-10,דירה בבית קומות,3,שלישית,1960,"22,041 ₪",4
דגניה 15,49.7,11/04/2005,"183,000 ₪",11571-169-10,דירה בבית קומות,3,שלישית,1960,"22,041 ₪",4
דגניה 47,52.72,03/03/2025,"1,230,000 ₪",11567-560-21,דירה בבית קומות,3,שלישית,1960,"23,654 ₪",4
דגניה 47,52.72,08/07/2018,"645,000 ₪",11567-560-21,דירה בבית קומות,3,שלישית,1960,"23,654 ₪",4
דגניה 47,52.72,19/01/2014,"380,000 ₪",11567-560-21,דירה בבית קומות,3,שלישית,1960,"23,654 ₪",4
"מח""ל 27",42,02/03/2025,"1,215,000 ₪",11567-600-20,דירה בבית קומות,3,שניה,1960,"28,929 ₪",4
"מח""ל 27",42,05/10/2021,"840,000 ₪",11567-600-20,דירה בבית קומות,3,שניה,1960,"28,929 ₪",4
"מח""ל 27",42,26/11/2014,"510,000 ₪",11567-600-20,דירה בבית קומות,3,שניה,1960,"28,929 ₪",4
