כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
כרמי 5,63.03,23/03/2025,"1,790,000 ₪",11191-19-21,דירה בבית קומות,3,שניה,1960,"28,413 ₪",4
כרמי 5,63.03,17/09/2020,"1,190,000 ₪",11191-19-21,דירה בבית קומות,3,שניה,1960,"28,413 ₪",4
כרמי 5,63.03,06/11/2014,"1,125,000 ₪",11191-19-21,דירה בבית קומות,3,שניה,1960,"28,413 ₪",4
כרמי 5,63.03,01/04/2007,"484,000 ₪",11191-19-21,דירה בבית קומות,3,שניה,1960,"28,413 ₪",4
כרמי 5,63.03,25/01/1998,"627,000 ₪",11191-19-21,דירה בבית קומות,3,שניה,1960,"28,413 ₪",4
קרן היסוד 30,108.6,18/03/2025,"1,750,000 ₪",11190-22-5,דירה בבית קומות,4,שניה,1970,"16,204 ₪",2
קרן היסוד 30,108.6,22/03/2021,"1,450,000 ₪",11190-22-5,דירה בבית קומות,4,שניה,1970,"16,204 ₪",2
הצלפים 6,119,18/03/2025,"2,750,000 ₪",11191-117-7,דירה בבית קומות,5,רביעית,1980,"23,109 ₪",2
הצלפים 6,119,23/12/2016,"2,099,000 ₪",11191-117-7,דירה בבית קומות,5,רביעית,1980,"23,109 ₪",2
קרן היסוד 31,99.1,12/03/2025,"1,790,000 ₪",11191-208-4,דירה בבית קומות,5,שניה,1996,"18,081 ₪",13
קרן היסוד 31,99.1,01/01/2014,"1,640,000 ₪",11191-208-4,דירה בבית קומות,5,שניה,1996,"18,081 ₪",13
קרן היסוד 46,84,25/02/2025,"1,630,000 ₪",11190-26-21,דירה בבית קומות,4,שישית,1970,"19,405 ₪",8
קרן היסוד 46,84,19/01/2014,"1,150,000 ₪",11190-26-21,דירה בבית קומות,4,שישית,1970,"19,405 ₪",8
קרן היסוד 46,84,08/11/2001,"552,000 ₪",11190-26-21,דירה בבית קומות,4,שישית,1970,"19,405 ₪",8
"פלמ""ח 2",97.8,24/02/2025,"1,700,000 ₪",11191-178-2,דירה בבית קומות,4,ראשונה,1972,"17,382 ₪",3
קרן היסוד 29,102.1,21/02/2025,"1,550,000 ₪",11191-207-5,דירה בבית קומות,4,שלישית,1993,"15,181 ₪",10
קרן היסוד 46,84.1,20/02/2025,"1,620,000 ₪",11190-26-9,דירה בבית קומות,4,שלישית,1970,"19,286 ₪",8
קרן היסוד 46,84.1,07/07/2021,"1,075,700 ₪",11190-26-9,דירה בבית קומות,4,שלישית,1970,"19,286 ₪",8
הצלפים 1,85.2,16/02/2025,"1,450,000 ₪",11191-86-23,דירה בבית קומות,4,שישית,1980,"17,059 ₪",8
הצלפים 1,85.2,10/01/2005,"712,000 ₪",11191-86-23,דירה בבית קומות,4,שישית,1980,"17,059 ₪",8
חטיבת עודד 6,64,02/02/2025,"1,320,000 ₪",11191-33-40,דירה בבית קומות,3,חמישית,1970,"20,625 ₪",6
פטל 5,49.62,27/01/2025,"2,065,000 ₪",11191-17-8,דירה בבית קומות,3,שלישית,1960,"42,143 ₪",3
פטל 5,49.62,11/08/2021,"1,700,000 ₪",11191-17-8,דירה בבית קומות,3,שלישית,1960,"42,143 ₪",3
פטל 5,49.62,05/03/2014,"1,055,000 ₪",11191-17-8,דירה בבית קומות,3,שלישית,1960,"42,143 ₪",3
הצלפים 21,92,23/01/2025,"1,392,000 ₪",11191-176-6,דירה בבית קומות,3,שלישית,1950,"15,130 ₪",3
קרן היסוד 36,104,22/01/2025,"1,800,000 ₪",11190-24-11,דירה בבית קומות,4,לא ידוע,1970,"17,308 ₪",2
"פלמ""ח 62",99.74,09/01/2025,"1,760,000 ₪",11191-42-2,דירה בבית קומות,4,ראשונה,1970,"17,646 ₪",3
קרן היסוד 46,64.8,24/12/2024,"1,600,000 ₪",11190-26-15,דירה בבית קומות,3,רביעית,1970,"25,000 ₪",8
קרן היסוד 46,64.8,01/12/2019,"1,160,000 ₪",11190-26-15,דירה בבית קומות,3,רביעית,1970,"25,000 ₪",8
קרן היסוד 46,64.8,24/05/2018,"850,000 ₪",11190-26-15,דירה בבית קומות,3,רביעית,1970,"25,000 ₪",8
הראל 3,86.03,24/12/2024,"1,800,000 ₪",11191-129-27,דירה בבית קומות,4,שלישית,2000,"20,923 ₪",4
כרמי 5,63.03,23/12/2024,"1,560,000 ₪",11191-19-17,דירה בבית קומות,3,שניה,1960,"24,762 ₪",4
כרמי 5,63.03,02/07/2019,"1,100,000 ₪",11191-19-17,דירה בבית קומות,3,שניה,1960,"24,762 ₪",4
קרן היסוד 50,84,12/12/2024,"1,350,000 ₪",11190-43-22,דירה בבית קומות,4,שישית,1970,"16,071 ₪",8
משמר הגבול 9,27,01/12/2024,"775,000 ₪",11191-69-26,דירה בבית קומות,1,ראשונה,1950,"28,704 ₪",3
כרמי 5,63.03,28/11/2024,"1,250,000 ₪",11191-19-26,דירה בבית קומות,3,שלישית,1960,"19,832 ₪",4
הראל 24,88.7,26/11/2024,"1,650,000 ₪",12688-27-43,דירה בבית קומות,3.5,שניה,1970,"18,750 ₪",4
הראל 24,88.7,04/06/2018,"1,180,000 ₪",12688-27-43,דירה בבית קומות,3.5,שניה,1970,"18,750 ₪",4
משמר הגבול 9,30.9,19/11/2024,"450,000 ₪",11191-69-39,דירה בבית קומות,1,שלישית,1950,"15,000 ₪",3
משמר הגבול 9,30.9,04/03/2018,"650,000 ₪",11191-69-39,דירה בבית קומות,1,שלישית,1950,"15,000 ₪",3
משמר הגבול 9,30.9,19/11/2024,חלק נמכר,11191-69-39,דירה בבית קומות,1,שלישית,1950,"15,000 ₪",3
משמר הגבול 9,30.9,מחיר,1,11191-69-39,דירה בבית קומות,1,שלישית,1950,"15,000 ₪",3
משמר הגבול 9,30.9,50%,"225,000 ₪",11191-69-39,דירה בבית קומות,1,שלישית,1950,"15,000 ₪",3
משמר הגבול 9,30.9,2,50%,11191-69-39,דירה בבית קומות,1,שלישית,1950,"15,000 ₪",3
משמר הגבול 9,30.9,"225,000 ₪","450,000 ₪",11191-69-39,דירה בבית קומות,1,שלישית,1950,"15,000 ₪",3
הצלפים 22,85,18/11/2024,"700,000 ₪",11191-109-4,דירה בבית קומות,4,שניה,1970,"8,235 ₪",3
מבצע יונתן 9,94.1,07/11/2024,"1,682,000 ₪",10770-100-73,דירה בבית קומות,4,שלישית,1980,"17,894 ₪",8
מבצע יונתן 9,94.1,06/07/2016,"1,550,000 ₪",10770-100-73,דירה בבית קומות,4,שלישית,1980,"17,894 ₪",8
מבצע יונתן 9,94.1,23/10/2012,"1,050,000 ₪",10770-100-73,דירה בבית קומות,4,שלישית,1980,"17,894 ₪",8
הראל 16,78,15/10/2024,"1,570,000 ₪",12688-33-10,דירה בבית קומות,4,שלישית,1970,"20,128 ₪",4
הראל 16,78,07/12/2015,"1,190,000 ₪",12688-33-10,דירה בבית קומות,4,שלישית,1970,"20,128 ₪",4
