כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
ללא כתובת,63,21/05/2025,"1,610,000 ₪",11196-16-76,דירה בבית קומות,3.5,חמישית,0,"25,556 ₪",0
חביבה 55,148,15/05/2025,"2,375,000 ₪",11196-7-20,דירה בבית קומות,5,ראשונה,2023,"16,047 ₪",4
זלמן שניאור 28,47.27,04/05/2025,"1,100,000 ₪",11194-296-27,דירה בבית קומות,3,שלישית,1960,"23,404 ₪",4
זלמן שניאור 28,47.27,16/02/2016,"820,000 ₪",11194-296-27,דירה בבית קומות,3,שלישית,1960,"23,404 ₪",4
חביבה 31,40,29/04/2025,"1,330,000 ₪",11196-9-14,דירה בבית קומות,3,קרקע,1960,"33,250 ₪",2
חביבה 31,40,28/04/2021,"910,000 ₪",11196-9-14,דירה בבית קומות,3,קרקע,1960,"33,250 ₪",2
חביבה 31,40,03/05/2020,"955,000 ₪",11196-9-14,דירה בבית קומות,3,קרקע,1960,"33,250 ₪",2
חביבה 24,60.25,28/04/2025,"1,120,000 ₪",11194-280-45,דירה בבית קומות,3,שלישית,1960,"18,667 ₪",4
חביבה 24,60.25,02/07/2012,"620,000 ₪",11194-280-45,דירה בבית קומות,3,שלישית,1960,"18,667 ₪",4
חביבה 49,40,31/03/2025,"1,350,000 ₪",11196-152-5,דירה בבית קומות,2,שניה,2013,"33,750 ₪",3
חביבה 62,45.5,28/03/2025,"1,420,000 ₪",11196-14-2,דירה בבית קומות,3,קרקע,2015,"31,209 ₪",3
ברנר 5,41.02,25/03/2025,"600,000 ₪",11194-287-18,דירה בבית קומות,2,רביעית,1960,"14,634 ₪",7
ברנר 5,41.02,20/07/2014,"490,000 ₪",11194-287-18,דירה בבית קומות,2,רביעית,1960,"14,634 ₪",7
חביבה 24,48.6,25/03/2025,"1,055,000 ₪",11194-280-43,דירה בבית קומות,2,שניה,1960,"21,979 ₪",4
חביבה 24,48.6,12/06/2017,"850,000 ₪",11194-280-43,דירה בבית קומות,2,שניה,1960,"21,979 ₪",4
פיכמן 20,45.5,20/03/2025,"2,100,000 ₪",11196-17-24,דירה בבית קומות,3,שלישית,2023,"46,667 ₪",3
פיכמן 20,45.5,31/01/2023,"1,750,000 ₪",11196-17-24,דירה בבית קומות,3,שלישית,2023,"46,667 ₪",3
פיכמן 20,45.5,30/04/2002,"416,000 ₪",11196-17-24,דירה בבית קומות,3,שלישית,2023,"46,667 ₪",3
יהודה בורלא 30,60.9,19/03/2025,"1,160,000 ₪",11194-343-16,דירה בבית קומות,3,חמישית,1970,"19,333 ₪",7
יהודה בורלא 30,60.9,10/12/2008,"380,000 ₪",11194-343-16,דירה בבית קומות,3,חמישית,1970,"19,333 ₪",7
דובנוב 7,62,19/03/2025,"1,270,000 ₪",11196-80-14,דירה בבית קומות,3,שלישית,1960,"20,484 ₪",6
דובנוב 7,62,25/08/2019,"1,030,000 ₪",11196-80-14,דירה בבית קומות,3,שלישית,1960,"20,484 ₪",6
דובנוב 7,62,18/11/2016,"789,000 ₪",11196-80-14,דירה בבית קומות,3,שלישית,1960,"20,484 ₪",6
ללא כתובת,129.6,11/03/2025,"2,400,000 ₪",11194-238-36,דירה בבית קומות,5,קומה 6,0,"18,605 ₪",0
ללא כתובת,129.6,19/09/2016,"1,669,000 ₪",11194-238-36,דירה בבית קומות,5,קומה 6,0,"18,605 ₪",0
יהודה בורלא 15,70.5,06/03/2025,"300,000 ₪",11194-346-26,דירה בבית קומות,4,שמינית,1970,"4,286 ₪",8
יהודה בורלא 15,70.5,מחיר,1,11194-346-26,דירה בבית קומות,4,שמינית,1970,"4,286 ₪",8
יהודה בורלא 15,70.5,25%,"75,000 ₪",11194-346-26,דירה בבית קומות,4,שמינית,1970,"4,286 ₪",8
יהודה בורלא 15,70.5,2,25%,11194-346-26,דירה בבית קומות,4,שמינית,1970,"4,286 ₪",8
יהודה בורלא 15,70.5,"75,000 ₪",3,11194-346-26,דירה בבית קומות,4,שמינית,1970,"4,286 ₪",8
יהודה בורלא 15,70.5,4,25%,11194-346-26,דירה בבית קומות,4,שמינית,1970,"4,286 ₪",8
יהודה בורלא 15,70.5,"75,000 ₪","300,000 ₪",11194-346-26,דירה בבית קומות,4,שמינית,1970,"4,286 ₪",8
ברנר 6,46.16,06/03/2025,"1,410,000 ₪",11194-293-16,דירה בבית קומות,3,שניה,1960,"30,652 ₪",3
ברנר 6,46.16,08/07/2012,"570,000 ₪",11194-293-16,דירה בבית קומות,3,שניה,1960,"30,652 ₪",3
ברנר 6,46.16,17/08/1998,"415,000 ₪",11194-293-16,דירה בבית קומות,3,שניה,1960,"30,652 ₪",3
ללא כתובת,52.8,04/03/2025,"1,420,000 ₪",11194-238-31,דירה בבית קומות,3,קומה 4,0,"27,308 ₪",0
ללא כתובת,52.8,25/05/2015,"820,000 ₪",11194-238-31,דירה בבית קומות,3,קומה 4,0,"27,308 ₪",0
חביבה 40,120,26/02/2025,"2,070,000 ₪",11194-253-82,דירה בבית קומות,5,תשיעית,2017,"17,250 ₪",10
חנקין 4,116,24/02/2025,"1,890,000 ₪",11200-121-4,דירה בבית קומות,4,ראשונה,1950,"16,293 ₪",2
יהודה בורלא 27,70.5,17/02/2025,"1,280,000 ₪",11194-339-10,דירה בבית קומות,4,רביעית,1970,"18,286 ₪",8
יהודה בורלא 27,70.5,27/03/2022,"1,060,000 ₪",11194-339-10,דירה בבית קומות,4,רביעית,1970,"18,286 ₪",8
חביבה 53,69.72,13/02/2025,"1,430,000 ₪",11196-66-24,דירה בבית קומות,3,שישית,1970,"20,725 ₪",7
חביבה 53,69.72,29/05/2014,"751,000 ₪",11196-66-24,דירה בבית קומות,3,שישית,1970,"20,725 ₪",7
חביבה 53,69.72,13/02/2025,חלק נמכר,11196-66-24,דירה בבית קומות,3,שישית,1970,"20,725 ₪",7
חביבה 53,69.72,מחיר,1,11196-66-24,דירה בבית קומות,3,שישית,1970,"20,725 ₪",7
