כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
פרויד 42,85.3,25/03/2025,"2,050,000 ₪",10794-178-28,דירה בבית קומות,4,קומה 7,1980,"24,118 ₪",8
פרויד 42,85.3,06/03/2017,"625,000 ₪",10794-178-28,דירה בבית קומות,4,קומה 7,1980,"24,118 ₪",8
פרויד 42,85.3,11/01/2017,"1,250,000 ₪",10794-178-28,דירה בבית קומות,4,קומה 7,1980,"24,118 ₪",8
פרויד 42,85.3,03/09/1998,"763,000 ₪",10794-178-28,דירה בבית קומות,4,קומה 7,1980,"24,118 ₪",8
פרויד 42,85.3,25/03/2025,חלק נמכר,10794-178-28,דירה בבית קומות,4,קומה 7,1980,"24,118 ₪",8
פרויד 42,85.3,מחיר,1,10794-178-28,דירה בבית קומות,4,קומה 7,1980,"24,118 ₪",8
פרויד 42,85.3,50%,"1,025,000 ₪",10794-178-28,דירה בבית קומות,4,קומה 7,1980,"24,118 ₪",8
פרויד 42,85.3,2,50%,10794-178-28,דירה בבית קומות,4,קומה 7,1980,"24,118 ₪",8
פרויד 42,85.3,"1,025,000 ₪","2,050,000 ₪",10794-178-28,דירה בבית קומות,4,קומה 7,1980,"24,118 ₪",8
פרויד 22,102,17/03/2025,"2,690,000 ₪",10785-67-11,דירה בבית קומות,5,שישית,1960,"26,373 ₪",3
ראול ולנברג 32,123.96,13/03/2025,"3,225,000 ₪",10787-138-2,דירה בבית קומות,5,ראשונה ושניה,1994,"26,220 ₪",12
ראול ולנברג 32,123.96,27/12/2018,"1,744,000 ₪",10787-138-2,דירה בבית קומות,5,ראשונה ושניה,1994,"26,220 ₪",12
טוסקניני 1,125,01/03/2025,"2,200,000 ₪",10792-238-3,דירה בבית קומות,7,לא ידוע,2002,"17,600 ₪",1
ראול ולנברג 4,140.6,28/02/2025,"2,850,000 ₪",10794-127-1,דירה בבית קומות,5,קרקע,1989,"20,270 ₪",5
פרויד 44,86.5,21/02/2025,"1,700,000 ₪",10794-178-83,דירה בבית קומות,4,קומה 13,1980,"19,653 ₪",13
פרויד 44,86.9,11/02/2025,"1,905,000 ₪",10794-178-51,דירה בבית קומות,4,קומה 5,1980,"22,151 ₪",13
פרויד 44,86.9,14/11/2021,"1,500,000 ₪",10794-178-51,דירה בבית קומות,4,קומה 5,1980,"22,151 ₪",13
ללא כתובת,61,02/02/2025,"690,000 ₪",10789-115-9,קרקע למגורים,לא ידוע,לא ידוע,0,"11,311 ₪",0
ללא כתובת,61,29/01/2025,"640,000 ₪",10789-115-8,קרקע למגורים,לא ידוע,לא ידוע,0,"10,492 ₪",0
ללא כתובת,61,26/01/2025,"690,000 ₪",10789-115-7,קרקע למגורים,לא ידוע,לא ידוע,0,"11,311 ₪",0
מארק שאגאל 7,176.8,01/01/2025,"3,600,000 ₪",10794-87-4,דירת גג,6,שלישית ורביעית,1989,"20,362 ₪",4
פרויד 12,111.35,29/12/2024,"1,775,000 ₪",10785-73-9,דירה בבית קומות,4,שלישית,1970,"15,941 ₪",6
ללא כתובת,61,18/12/2024,"665,000 ₪",10789-115-6,קרקע למגורים,לא ידוע,לא ידוע,0,"10,902 ₪",0
ראול ולנברג 41,177.96,18/12/2024,"1,350,000 ₪",10792-167-2,דירה בבית קומות,7,קרקע ראשונה שניה ושלישית,1996,"7,586 ₪",2
פרויד 39,103.15,16/12/2024,"1,950,000 ₪",10785-53-2,דירה בבית קומות,4,שניה,2009,"18,932 ₪",4
פרויד 39,103.15,20/12/2009,"969,000 ₪",10785-53-2,דירה בבית קומות,4,שניה,2009,"18,932 ₪",4
ללא כתובת,61,05/12/2024,"690,000 ₪",10789-115-5,קרקע למגורים,לא ידוע,לא ידוע,0,"11,311 ₪",0
ללא כתובת,30,01/12/2024,"345,000 ₪",10789-115-4,קרקע למגורים,לא ידוע,לא ידוע,0,"11,500 ₪",0
ללא כתובת,61,21/11/2024,"690,000 ₪",10789-115-2,קרקע למגורים,לא ידוע,לא ידוע,0,"11,311 ₪",0
ללא כתובת,61,20/11/2024,"690,000 ₪",10789-115-1,קרקע למגורים,לא ידוע,לא ידוע,0,"11,311 ₪",0
ללא כתובת,61,13/11/2024,"690,000 ₪",10789-122-8,קרקע למגורים,לא ידוע,לא ידוע,0,"11,311 ₪",0
ללא כתובת,60,11/11/2024,"690,000 ₪",10789-122-7,קרקע למגורים,לא ידוע,לא ידוע,0,"11,500 ₪",0
ראול ולנברג 32,123.52,06/11/2024,"3,050,000 ₪",10787-138-18,דירה בבית קומות,5,שלישית ורביעית,1994,"24,692 ₪",12
ללא כתובת,61,05/11/2024,"690,000 ₪",10789-122-6,קרקע למגורים,לא ידוע,לא ידוע,0,"11,311 ₪",0
ראול ולנברג 12,134.97,28/10/2024,"2,305,000 ₪",10794-131-6,דירה בבית קומות,5,רביעית + עליית גג,1993,"17,078 ₪",3
סירני 15,201.47,15/10/2024,"2,112,000 ₪",10792-178-1,דירת גן,6,קרקע ראשונה שניה ושלישית,1988,"10,483 ₪",0
אלברט שוויצר 35,164.3,30/09/2024,"2,670,000 ₪",10793-58-6,דירה בבית קומות,6,"קומה 1, קומה 2, קומה 3, קומה 4",1989,"16,251 ₪",4
מארק שאגאל 15,110.15,19/09/2024,"2,050,000 ₪",10794-91-4,דירה בבית קומות,4,שניה,1989,"18,611 ₪",3
מארק שאגאל 2,133.9,15/09/2024,"1,825,000 ₪",10785-112-2,דירה בבית קומות,5,"קומה 2, קומה 3",1970,"13,630 ₪",4
סירני 1,167.56,12/09/2024,"2,500,000 ₪",10792-172-4,דירה בבית קומות,5,קרקע ראשונה שניה,1980,"14,970 ₪",0
סירני 1,167.56,02/04/2014,"2,300,000 ₪",10792-172-4,דירה בבית קומות,5,קרקע ראשונה שניה,1980,"14,970 ₪",0
גיבורי גטו ורשה 10,121.12,30/08/2024,"1,385,000 ₪",10792-204-1,דירה בבית קומות,4,קרקע,1990,"11,435 ₪",4
פרויד 42,85.1,19/08/2024,"1,650,000 ₪",10794-178-8,דירה בבית קומות,4,קומה 2,1980,"19,412 ₪",8
פרויד 42,85.1,07/10/2008,"600,000 ₪",10794-178-8,דירה בבית קומות,4,קומה 2,1980,"19,412 ₪",8
ראול ולנברג 15,108.95,18/08/2024,"2,850,000 ₪",10794-141-8,דירה בבית קומות,5,קרקע,1990,"26,389 ₪",2
ראול ולנברג 15,108.95,17/05/2018,"2,200,000 ₪",10794-141-8,דירה בבית קומות,5,קרקע,1990,"26,389 ₪",2
ללא כתובת,1113,15/08/2024,"1,600,000 ₪",10791-28-1,ללא תיכנון,לא ידוע,לא ידוע,0,"1,438 ₪",0
פרויד 44,85.1,12/08/2024,"1,420,000 ₪",10794-178-34,דירה בבית קומות,3,קומה 1,1980,"16,686 ₪",13
גיבורי גטו ורשה 6,123.44,05/08/2024,"3,350,000 ₪",10792-202-2,דירה בבית קומות,5,קרקע,2000,"27,236 ₪",2
גיבורי גטו ורשה 6,123.44,11/03/2008,"1,485,000 ₪",10792-202-2,דירה בבית קומות,5,קרקע,2000,"27,236 ₪",2
גיבורי גטו ורשה 6,123.44,16/03/2000,"1,444,000 ₪",10792-202-2,דירה בבית קומות,5,קרקע,2000,"27,236 ₪",2
אלברט שוויצר 7,149,01/08/2024,"3,250,000 ₪",10794-107-5,דירה בבית קומות,5,שלישית,1991,"21,812 ₪",3
ראול ולנברג 44,118.41,01/08/2024,"2,810,000 ₪",10788-30-2,דירה בבית קומות,4.5,ראשונה,1992,"23,814 ₪",5
ראול ולנברג 44,118.41,23/12/2014,"1,790,000 ₪",10788-30-2,דירה בבית קומות,4.5,ראשונה,1992,"23,814 ₪",5
פרויד 8,75,28/07/2024,"1,310,000 ₪",10785-128-3,דירה בבית קומות,3,שלישית,1993,"17,467 ₪",3
פרויד 22,134,21/07/2024,"4,050,000 ₪",10785-67-12,דירה בבית קומות,5,שלוש עשרה,1960,"30,224 ₪",3
ללא כתובת,1235,15/07/2024,"2,450,000 ₪",10789-122-1,קרקע למגורים,לא ידוע,לא ידוע,0,"1,984 ₪",0
פרויד 24,119.3,23/06/2024,"2,000,000 ₪",10785-66-7,דירה בבית קומות,6,שלישית,1970,"16,807 ₪",3
פרויד 24,119.3,01/04/2008,"1,080,000 ₪",10785-66-7,דירה בבית קומות,6,שלישית,1970,"16,807 ₪",3
פרויד 22,95,29/05/2024,"2,960,000 ₪",10785-67-5,דירה בבית קומות,5,שלישית,1960,"31,158 ₪",3
פרויד 22,95,05/05/2011,"790,000 ₪",10785-67-5,דירה בבית קומות,5,שלישית,1960,"31,158 ₪",3
פרויד 22,103,09/05/2024,"2,935,000 ₪",10785-67-13,דירה בבית קומות,4,שביעית,1960,"28,495 ₪",3
פרויד 31,101.45,26/03/2024,"1,700,000 ₪",10785-93-6,דירה בבית קומות,4,שלישית,1970,"16,757 ₪",4
גאולי תימן 4,126.52,21/03/2024,"2,540,000 ₪",10792-216-2,דירה בבית קומות,5,ראשונה,1988,"20,076 ₪",5
פרויד 14,116.23,13/03/2024,"2,550,000 ₪",10785-72-3,דירה בבית קומות,6,שלישית,1970,"21,939 ₪",6
פרויד 20,107.31,13/03/2024,"1,850,000 ₪",10785-68-10,דירה בבית קומות,5,ראשונה ושניה,1996,"17,240 ₪",4
אלברט שוויצר 68,122.47,12/03/2024,"2,450,000 ₪",10792-197-6,דירה בבית קומות,5,שניה שלישית ורביעית,1987,"20,082 ₪",2
אלברט שוויצר 68,122.47,01/07/2016,"1,999,000 ₪",10792-197-6,דירה בבית קומות,5,שניה שלישית ורביעית,1987,"20,082 ₪",2
פרויד 16,71.59,07/03/2024,"1,690,000 ₪",10785-70-9,דירה בבית קומות,3,ראשונה,1960,"23,803 ₪",2
פרויד 16,71.59,12/05/2006,"629,000 ₪",10785-70-9,דירה בבית קומות,3,ראשונה,1960,"23,803 ₪",2
ראול ולנברג 32,101.05,06/03/2024,"2,070,000 ₪",10787-138-11,דירה בבית קומות,4,שביעית,1994,"20,485 ₪",12
מארק שאגאל 9,120.3,18/02/2024,"2,500,000 ₪",10794-88-3,דירה בבית קומות,6,שניה,1990,"20,781 ₪",4
גיבורי גטו ורשה 6,154.07,01/02/2024,"3,380,000 ₪",10792-202-7,דירה בבית קומות,6,שניה ושלישית,2000,"21,938 ₪",2
אלברט שוויצר 75,203.65,24/01/2024,"3,790,000 ₪",10792-195-2,דירה בבית קומות,7,קרקע ראשונה ושניה,1989,"18,670 ₪",2
אלברט שוויצר 75,203.65,27/01/1998,"1,662,000 ₪",10792-195-2,דירה בבית קומות,7,קרקע ראשונה ושניה,1989,"18,670 ₪",2
ראול ולנברג 8,121.9,24/01/2024,"2,300,000 ₪",10794-129-1,דירה בבית קומות,4,קרקע וראשונה,1998,"18,868 ₪",4
פרץ ברנשטיין 1,118.3,22/01/2024,"1,729,100 ₪",10794-97-4,דירה בבית קומות,5,שניה ושלישית,1990,"14,616 ₪",2
ראול ולנברג 32,101,18/12/2023,"2,200,000 ₪",10787-138-13,דירה בבית קומות,4,שמינית,1994,"21,782 ₪",12
גאולי תימן 5,173.24,14/12/2023,"2,920,000 ₪",10794-139-11,דירה בבית קומות,6,שלישית ורביעית,1988,"16,855 ₪",1
ראול ולנברג 9,92.81,13/12/2023,"1,800,000 ₪",10794-138-18,דירה בבית קומות,4,חמישית,1980,"19,565 ₪",10
ראול ולנברג 9,92.81,17/10/2019,"1,425,000 ₪",10794-138-18,דירה בבית קומות,4,חמישית,1980,"19,565 ₪",10
גיבורי גטו ורשה 6,65.36,11/12/2023,"1,450,000 ₪",10792-202-1,דירה בבית קומות,3,קרקע וראשונה,2000,"22,185 ₪",2
אלברט שוויצר 33,123.56,30/10/2023,"2,750,000 ₪",10793-55-9,דירה בבית קומות,6,שניה ושלישית,1990,"22,256 ₪",3
ראול ולנברג 22,107.63,17/10/2023,"1,900,000 ₪",10794-136-2,דירה בבית קומות,4,קרקע וראשונה,1990,"17,653 ₪",2
