כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
ליונל ווטסון 10,113.2,08/04/2025,"2,600,000 ₪",10797-38-3,דירה בבית קומות,4,שניה,1970,"23,009 ₪",5
ליונל ווטסון 10,113.2,27/01/2019,"2,230,000 ₪",10797-38-3,דירה בבית קומות,4,שניה,1970,"23,009 ₪",5
ליונל ווטסון 10,113.2,05/11/2013,"1,300,000 ₪",10797-38-3,דירה בבית קומות,4,שניה,1970,"23,009 ₪",5
ליונל ווטסון 16,100,19/03/2025,"2,450,000 ₪",10797-35-1,דירה בבית קומות,4.5,קרקע,1970,"24,500 ₪",2
ליונל ווטסון 16,100,13/08/2014,"1,815,000 ₪",10797-35-1,דירה בבית קומות,4.5,קרקע,1970,"24,500 ₪",2
ליונל ווטסון 16,100,16/12/2009,"1,025,000 ₪",10797-35-1,דירה בבית קומות,4.5,קרקע,1970,"24,500 ₪",2
ליונל ווטסון 5,117.9,12/03/2025,"2,600,000 ₪",10797-51-3,דירה בבית קומות,5,שניה,1970,"22,222 ₪",3
ליונל ווטסון 5,117.9,22/04/2008,"675,000 ₪",10797-51-3,דירה בבית קומות,5,שניה,1970,"22,222 ₪",3
משה סורוקה 27,89.63,25/02/2025,"2,680,000 ₪",10797-69-8,דירה בבית קומות,4,שניה,1970,"30,112 ₪",3
משה סורוקה 27,89.63,02/09/2020,"2,025,000 ₪",10797-69-8,דירה בבית קומות,4,שניה,1970,"30,112 ₪",3
משה סורוקה 27,89.63,12/08/2015,"1,520,000 ₪",10797-69-8,דירה בבית קומות,4,שניה,1970,"30,112 ₪",3
היסמין 2,107.3,19/02/2025,"1,620,000 ₪",10796-157-4,דירה בבית קומות,5,חמישית,1980,"15,140 ₪",21
היסמין 2,107.3,מחיר,1,10796-157-4,דירה בבית קומות,5,חמישית,1980,"15,140 ₪",21
היסמין 2,107.3,50%,"810,000 ₪",10796-157-4,דירה בבית קומות,5,חמישית,1980,"15,140 ₪",21
היסמין 2,107.3,2,50%,10796-157-4,דירה בבית קומות,5,חמישית,1980,"15,140 ₪",21
היסמין 2,107.3,"810,000 ₪","1,620,000 ₪",10796-157-4,דירה בבית קומות,5,חמישית,1980,"15,140 ₪",21
היסמין 2,162.79,17/02/2025,"3,600,000 ₪",10796-157-170,קוטג' דו משפחתי,7,"קרקע, ראשונה, שניה",1980,"22,114 ₪",21
ליונל ווטסון 11,84.5,11/02/2025,"4,581,000 ₪",10797-54-2,דירה בבית קומות,6,ראשונה,2023,"54,536 ₪",2
ליונל ווטסון 11,84.5,30/10/2023,"3,900,000 ₪",10797-54-2,דירה בבית קומות,6,ראשונה,2023,"54,536 ₪",2
שימקין 12,93.92,11/02/2025,"1,800,000 ₪",10797-90-9,דירה בבית קומות,3,שלישית,1980,"19,355 ₪",3
שימקין 12,93.92,24/05/2011,"1,100,000 ₪",10797-90-9,דירה בבית קומות,3,שלישית,1980,"19,355 ₪",3
אבא חושי 8,111.9,29/01/2025,"2,315,000 ₪",10797-46-2,דירה בבית קומות,5,שניה,1970,"20,856 ₪",2
אבא חושי 8,111.9,14/12/2008,"1,237,000 ₪",10797-46-2,דירה בבית קומות,5,שניה,1970,"20,856 ₪",2
שימקין 1,94.65,29/01/2025,"2,000,000 ₪",10797-149-36,דירה בבית קומות,4,רביעית,1980,"21,277 ₪",4
שימקין 1,94.65,11/12/2010,"1,335,000 ₪",10797-149-36,דירה בבית קומות,4,רביעית,1980,"21,277 ₪",4
שימקין 1,94.65,18/03/2005,"810,000 ₪",10797-149-36,דירה בבית קומות,4,רביעית,1980,"21,277 ₪",4
שימקין 1,94.65,29/08/2004,"827,000 ₪",10797-149-36,דירה בבית קומות,4,רביעית,1980,"21,277 ₪",4
אריה כרוך 2,134.54,28/01/2025,"2,875,000 ₪",10796-90-3,דירה בבית קומות,5,ראשונה ושניה,1989,"21,369 ₪",1
היסמין 2,98.74,22/01/2025,"1,660,000 ₪",10796-157-105,דירה בבית קומות,4,שש עשרה,1980,"16,812 ₪",21
שימקין 34,93.12,19/01/2025,"1,545,000 ₪",10797-79-13,דירה בבית קומות,4,שלישית,1978,"16,591 ₪",3
ליונל ווטסון 13,95.3,09/01/2025,"2,690,000 ₪",10797-55-7,דירה בבית קומות,4,שניה,2021,"28,227 ₪",3
