כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
לאון בלום 28,64,29/04/2025,"1,180,000 ₪",10870-40-239,דירה בבית קומות,3,תשיעית,1970,"18,438 ₪",19
לאון בלום 28,64,27/06/2017,"880,000 ₪",10870-40-239,דירה בבית קומות,3,תשיעית,1970,"18,438 ₪",19
חנה סנש 18,54.33,03/03/2025,"1,150,000 ₪",12529-6-2,דירה בבית קומות,2.5,ראשונה,1950,"21,167 ₪",2
לאון בלום 8,65.18,26/02/2025,"1,020,000 ₪",10870-34-56,דירה בבית קומות,3,שלישית,1960,"15,649 ₪",11
לאון בלום 28,86,25/02/2025,"1,250,000 ₪",10870-40-152,דירה בבית קומות,4,חמש עשרה,1970,"14,535 ₪",19
לאון בלום 28,86,25/08/2020,"1,060,000 ₪",10870-40-152,דירה בבית קומות,4,חמש עשרה,1970,"14,535 ₪",19
לאון בלום 28,86,14/03/2012,"750,000 ₪",10870-40-152,דירה בבית קומות,4,חמש עשרה,1970,"14,535 ₪",19
בלום לאון 2,79.7,31/12/2024,"550,000 ₪",10870-23-35,דירה בבית קומות,3.5,שניה,1960,"6,901 ₪",11
לאון בלום 28,86,26/12/2024,"1,325,000 ₪",10870-40-290,דירה בבית קומות,4,חמישית,1970,"15,407 ₪",19
לאון בלום 28,86,04/04/2019,"1,040,000 ₪",10870-40-290,דירה בבית קומות,4,חמישית,1970,"15,407 ₪",19
לאון בלום 28,86,31/12/2017,"918,000 ₪",10870-40-290,דירה בבית קומות,4,חמישית,1970,"15,407 ₪",19
בלום לאון 2,79.7,18/12/2024,"1,290,000 ₪",10870-23-71,דירה בבית קומות,4,שישית,1960,"16,329 ₪",11
בלום לאון 2,79.7,09/07/2021,"602,000 ₪",10870-23-71,דירה בבית קומות,4,שישית,1960,"16,329 ₪",11
בלום לאון 2,79.7,28/07/2010,"790,000 ₪",10870-23-71,דירה בבית קומות,4,שישית,1960,"16,329 ₪",11
בלום לאון 2,79.7,09/03/2008,"460,000 ₪",10870-23-71,דירה בבית קומות,4,שישית,1960,"16,329 ₪",11
בלום לאון 2,79.7,19/06/2001,"417,000 ₪",10870-23-71,דירה בבית קומות,4,שישית,1960,"16,329 ₪",11
לאון בלום 8,67.14,12/12/2024,"1,050,000 ₪",10870-34-192,דירה בבית קומות,4,תשיעית,1960,"15,672 ₪",11
לאון בלום 8,67.14,03/01/2012,"599,000 ₪",10870-34-192,דירה בבית קומות,4,תשיעית,1960,"15,672 ₪",11
לאון בלום 8,59.74,04/12/2024,"1,000,000 ₪",10870-34-110,דירה בבית קומות,3,חמישית,1960,"16,739 ₪",11
לאון בלום 8,59.74,02/12/2024,"1,000,000 ₪",10870-34-62,דירה בבית קומות,3,שלישית,1960,"16,739 ₪",11
לאון בלום 8,50,11/10/2024,"500,000 ₪",10870-34-6,דירה בבית קומות,3,ראשונה,1960,"10,000 ₪",11
לאון בלום 8,50,14/08/2024,"1,000,000 ₪",10870-34-6,דירה בבית קומות,3,ראשונה,1960,"10,000 ₪",11
לאון בלום 8,50,09/12/2021,"800,000 ₪",10870-34-6,דירה בבית קומות,3,ראשונה,1960,"10,000 ₪",11
לאון בלום 8,50,09/02/2017,"620,000 ₪",10870-34-6,דירה בבית קומות,3,ראשונה,1960,"10,000 ₪",11
בלום לאון 2,79.7,25/09/2024,"1,325,000 ₪",10870-23-55,דירה בבית קומות,4,רביעית,1960,"16,772 ₪",11
בלום לאון 2,79.7,27/03/2019,"920,000 ₪",10870-23-55,דירה בבית קומות,4,רביעית,1960,"16,772 ₪",11
לאון בלום 28,86,17/09/2024,"1,225,000 ₪",10870-40-140,דירה בבית קומות,4,תשיעית,1970,"14,244 ₪",19
לאון בלום 28,91,09/09/2024,"1,260,000 ₪",10870-40-309,דירה בבית קומות,4,אחת עשרה,1970,"13,846 ₪",19
לאון בלום 28,83,03/09/2024,"1,360,000 ₪",10870-40-291,דירה בבית קומות,3.5,חמישית,1970,"16,386 ₪",19
לאון בלום 28,83,22/02/2010,"510,000 ₪",10870-40-291,דירה בבית קומות,3.5,חמישית,1970,"16,386 ₪",19
לאון בלום 28,58,23/07/2024,"1,040,000 ₪",10870-40-115,דירה בבית קומות,2,ארבע עשרה,1970,"17,931 ₪",19
לאון בלום 28,58,19/07/2011,"630,000 ₪",10870-40-115,דירה בבית קומות,2,ארבע עשרה,1970,"17,931 ₪",19
לאון בלום 28,86,17/07/2024,"1,390,000 ₪",10870-40-102,דירה בבית קומות,4,עשירית,1970,"16,163 ₪",19
בלום לאון 2,79.7,03/07/2024,"1,045,000 ₪",10870-23-34,דירה בבית קומות,4,שניה,1960,"13,112 ₪",11
לאון בלום 8,61.16,30/06/2024,"937,500 ₪",10870-34-207,דירה בבית קומות,3,עשירית,1960,"15,329 ₪",11
חנה סנש 20,100.8,26/06/2024,"1,750,000 ₪",10870-80-8,דירה בבית קומות,4,רביעית,1994,"17,500 ₪",18
חנה סנש 20,100.8,01/11/2007,"673,000 ₪",10870-80-8,דירה בבית קומות,4,רביעית,1994,"17,500 ₪",18
בלום לאון 2,38.47,13/06/2024,"840,000 ₪",10870-23-92,דירה בבית קומות,2,שביעית,1960,"21,835 ₪",11
לאון בלום 8,65.18,10/06/2024,"1,200,000 ₪",10870-34-70,דירה בבית קומות,3,רביעית,1960,"18,462 ₪",11
לאון בלום 8,65.18,08/02/1998,"457,000 ₪",10870-34-70,דירה בבית קומות,3,רביעית,1960,"18,462 ₪",11
חנה סנש 20,105,06/06/2024,"1,730,000 ₪",10870-80-144,דירה בבית קומות,5,שביעית,1994,"16,476 ₪",18
וינגייט 35,97.96,06/06/2024,"1,450,000 ₪",12529-8-2,דירה בבית קומות,4,ראשונה,1960,"14,802 ₪",3
לאון בלום 28,98,04/06/2024,"1,360,000 ₪",10870-40-324,דירה בבית קומות,4,ראשונה,1970,"13,878 ₪",19
לאון בלום 8,59.74,08/05/2024,"1,050,000 ₪",10870-34-43,דירה בבית קומות,3,שניה,1960,"17,797 ₪",11
לאון בלום 8,59.74,18/06/2021,"770,000 ₪",10870-34-43,דירה בבית קומות,3,שניה,1960,"17,797 ₪",11
לאון בלום 28,58,07/05/2024,"835,000 ₪",10870-40-127,דירה בבית קומות,2,שמונה עשרה,1970,"14,397 ₪",19
לאון בלום 28,86,21/04/2024,"1,535,000 ₪",10870-40-305,דירה בבית קומות,4,עשירית,1970,"17,849 ₪",19
לאון בלום 28,86,10/06/2019,"1,070,000 ₪",10870-40-305,דירה בבית קומות,4,עשירית,1970,"17,849 ₪",19
לאון בלום 28,86,21/04/2024,חלק נמכר,10870-40-305,דירה בבית קומות,4,עשירית,1970,"17,849 ₪",19
לאון בלום 28,86,מחיר,1,10870-40-305,דירה בבית קומות,4,עשירית,1970,"17,849 ₪",19
לאון בלום 28,86,8%,"122,800 ₪",10870-40-305,דירה בבית קומות,4,עשירית,1970,"17,849 ₪",19
לאון בלום 28,86,2,8%,10870-40-305,דירה בבית קומות,4,עשירית,1970,"17,849 ₪",19
לאון בלום 28,86,"122,800 ₪",3,10870-40-305,דירה בבית קומות,4,עשירית,1970,"17,849 ₪",19
לאון בלום 28,86,4,75%,10870-40-305,דירה בבית קומות,4,עשירית,1970,"17,849 ₪",19
לאון בלום 28,86,"1,151,250 ₪","1,535,000 ₪",10870-40-305,דירה בבית קומות,4,עשירית,1970,"17,849 ₪",19
לאון בלום 28,86,19/04/2024,"1,520,000 ₪",10870-40-299,דירה בבית קומות,4,שמינית,1970,"17,674 ₪",19
לאון בלום 28,86,19/03/2020,"960,000 ₪",10870-40-299,דירה בבית קומות,4,שמינית,1970,"17,674 ₪",19
לאון בלום 28,58,14/04/2024,"980,000 ₪",10870-40-264,דירה בבית קומות,2,שמונה עשרה,1970,"16,897 ₪",19
בלום לאון 2,79.7,20/03/2024,"1,330,000 ₪",10870-23-102,דירה בבית קומות,3.5,שמינית,1960,"16,835 ₪",11
בלום לאון 2,79.7,11/12/2012,"935,000 ₪",10870-23-102,דירה בבית קומות,3.5,שמינית,1960,"16,835 ₪",11
בלום לאון 2,79.7,26/07/2010,"725,000 ₪",10870-23-102,דירה בבית קומות,3.5,שמינית,1960,"16,835 ₪",11
לאון בלום 28,100,22/02/2024,"1,340,000 ₪",10870-40-334,דירה בבית קומות,4,רביעית,1970,"13,400 ₪",19
לאון בלום 28,100,20/05/2007,"511,000 ₪",10870-40-334,דירה בבית קומות,4,רביעית,1970,"13,400 ₪",19
לאון בלום 8,61.16,31/01/2024,"1,140,000 ₪",10870-34-34,דירה בבית קומות,3,שניה,1960,"18,640 ₪",11
וינגייט 37,74,21/01/2024,"1,410,000 ₪",12529-7-4,דירה בבית קומות,3,שניה,1960,"19,054 ₪",2
חנה סנש 20,105,04/01/2024,"1,650,000 ₪",10870-80-142,דירה בבית קומות,4,עשירית,1994,"15,714 ₪",18
לאון בלום 8,48.9,02/01/2024,"880,000 ₪",10870-34-7,דירה בבית קומות,3,ראשונה,1960,"17,996 ₪",11
חנה סנש 8,48.5,07/12/2023,"900,000 ₪",12529-1-1,דירה בבית קומות,2,קרקע,1950,"18,557 ₪",2
לאון בלום 28,97,05/12/2023,"1,200,000 ₪",10870-40-170,דירה בבית קומות,4.5,שמינית,1970,"12,371 ₪",19
לאון בלום 8,44.94,06/11/2023,"850,000 ₪",10870-34-21,דירה בבית קומות,2,ראשונה,1960,"19,318 ₪",11
לאון בלום 8,44.94,14/08/1998,"441,000 ₪",10870-34-21,דירה בבית קומות,2,ראשונה,1960,"19,318 ₪",11
לאון בלום 28,97,25/10/2023,"1,585,000 ₪",10870-40-205,דירה בבית קומות,5,עשירית,1970,"16,340 ₪",19
לאון בלום 28,97,15/05/2019,"1,100,000 ₪",10870-40-205,דירה בבית קומות,5,עשירית,1970,"16,340 ₪",19
בלום לאון 2,79.7,11/10/2023,"1,180,000 ₪",10870-23-70,דירה בבית קומות,4,שישית,1960,"14,806 ₪",11
לאון בלום 8,67.14,28/09/2023,"950,000 ₪",10870-34-44,דירה בבית קומות,4,שניה,1960,"14,179 ₪",11
לאון בלום 8,67.14,04/02/2015,"885,000 ₪",10870-34-44,דירה בבית קומות,4,שניה,1960,"14,179 ₪",11
לאון בלום 8,67.14,28/02/2011,"681,000 ₪",10870-34-44,דירה בבית קומות,4,שניה,1960,"14,179 ₪",11
לאון בלום 28,58,17/08/2023,"980,000 ₪",10870-40-91,דירה בבית קומות,2,שישית,1970,"16,897 ₪",19
