כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
הנשיא 4,130,22/04/2025,"3,850,000 ₪",11718-2-8,דירה בבית קומות,5,חמישית,1960,"29,615 ₪",2
ללא כתובת,112,17/04/2025,"5,306,000 ₪",11686-22-2,דירה בבית קומות,4,שישית,0,"47,375 ₪",0
יפה נוף 26,61.6,10/04/2025,"1,600,000 ₪",11686-3-6,דירה בבית קומות,4,ראשונה,1950,"26,230 ₪",2
יפה נוף 26,61.6,17/11/2021,"1,555,000 ₪",11686-3-6,דירה בבית קומות,4,ראשונה,1950,"26,230 ₪",2
יפה נוף 26,61.6,03/04/2014,"1,360,000 ₪",11686-3-6,דירה בבית קומות,4,ראשונה,1950,"26,230 ₪",2
יפה נוף 26,61.6,05/02/2009,"535,000 ₪",11686-3-6,דירה בבית קומות,4,ראשונה,1950,"26,230 ₪",2
יפה נוף 26,61.6,10/04/2025,חלק נמכר,11686-3-6,דירה בבית קומות,4,ראשונה,1950,"26,230 ₪",2
יפה נוף 26,61.6,מחיר,1,11686-3-6,דירה בבית קומות,4,ראשונה,1950,"26,230 ₪",2
יפה נוף 26,61.6,50%,"800,000 ₪",11686-3-6,דירה בבית קומות,4,ראשונה,1950,"26,230 ₪",2
יפה נוף 26,61.6,2,50%,11686-3-6,דירה בבית קומות,4,ראשונה,1950,"26,230 ₪",2
יפה נוף 26,61.6,"800,000 ₪","1,600,000 ₪",11686-3-6,דירה בבית קומות,4,ראשונה,1950,"26,230 ₪",2
התשבי 22,79,03/04/2025,"1,560,000 ₪",11719-12-16,דירה בבית קומות,4,שניה,1960,"19,747 ₪",3
ללא כתובת,97,13/03/2025,"4,586,000 ₪",11686-22-3,דירה בבית קומות,4,שישית,0,"47,278 ₪",0
עובדיה 24,128,10/03/2025,"4,150,000 ₪",11114-2-7,דירה בבית קומות,5,שישית,1960,"32,422 ₪",7
שונמית 7,67.6,10/03/2025,"1,950,000 ₪",11114-11-4,דירה בבית קומות,3,שניה,1965,"29,104 ₪",4
שונמית 7,67.6,16/04/2010,"816,000 ₪",11114-11-4,דירה בבית קומות,3,שניה,1965,"29,104 ₪",4
ללא כתובת,84.5,09/03/2025,"4,300,000 ₪",10812-7-2,דירה בבית קומות,5,ראשונה,0,"51,190 ₪",0
ללא כתובת,84.5,09/02/2012,"1,253,000 ₪",10812-7-2,דירה בבית קומות,5,ראשונה,0,"51,190 ₪",0
ללא כתובת,84.5,04/01/2001,"569,000 ₪",10812-7-2,דירה בבית קומות,5,ראשונה,0,"51,190 ₪",0
התשבי 4,95,23/02/2025,"2,350,000 ₪",11113-12-8,דירה בבית קומות,4,שלישית,2003,"24,737 ₪",3
התשבי 77,71,18/02/2025,"1,675,000 ₪",11687-5-9,דירה בבית קומות,3,שניה,1960,"23,592 ₪",2
ללא כתובת,128,13/02/2025,"4,034,000 ₪",10812-7-6,דירה בבית קומות,5,ראשונה,0,"31,516 ₪",0
עין גדי 1,66,10/02/2025,"2,700,000 ₪",11691-14-5,דירה בבית קומות,4,קרקע,2023,"40,909 ₪",4
עין גדי 1,66,31/01/2002,"793,000 ₪",11691-14-5,דירה בבית קומות,4,קרקע,2023,"40,909 ₪",4
עובדיה 5,113,06/02/2025,"2,910,000 ₪",12598-11-5,דירה בבית קומות,6,ראשונה,2021,"25,752 ₪",0
התשבי 4,82.4,04/02/2025,"3,050,000 ₪",11113-12-1,דירה בבית קומות,4,ראשונה,2003,"37,015 ₪",3
שונמית 5,135,02/02/2025,"2,650,000 ₪",11114-11-16,דירה בבית קומות,5,חמישית,1961,"19,630 ₪",4
התשבי 69,70,29/01/2025,"2,150,000 ₪",11686-29-3,דירה בבית קומות,3,קרקע,1950,"30,714 ₪",1
התשבי 69,70,03/03/2022,"2,020,000 ₪",11686-29-3,דירה בבית קומות,3,קרקע,1950,"30,714 ₪",1
התשבי 69,70,31/07/2014,"1,900,000 ₪",11686-29-3,דירה בבית קומות,3,קרקע,1950,"30,714 ₪",1
התשבי 69,70,22/04/2008,"600,000 ₪",11686-29-3,דירה בבית קומות,3,קרקע,1950,"30,714 ₪",1
התשבי 69,70,29/01/2025,חלק נמכר,11686-29-3,דירה בבית קומות,3,קרקע,1950,"30,714 ₪",1
התשבי 69,70,מחיר,1,11686-29-3,דירה בבית קומות,3,קרקע,1950,"30,714 ₪",1
התשבי 69,70,50%,"1,075,000 ₪",11686-29-3,דירה בבית קומות,3,קרקע,1950,"30,714 ₪",1
התשבי 69,70,2,50%,11686-29-3,דירה בבית קומות,3,קרקע,1950,"30,714 ₪",1
התשבי 69,70,"1,075,000 ₪","2,150,000 ₪",11686-29-3,דירה בבית קומות,3,קרקע,1950,"30,714 ₪",1
סוכות 10,60,28/01/2025,"1,670,000 ₪",11688-19-5,דירה בבית קומות,3,ראשונה,1960,"27,833 ₪",2
סוכות 10,60,20/05/2005,"719,000 ₪",11688-19-5,דירה בבית קומות,3,ראשונה,1960,"27,833 ₪",2
ללא כתובת,83.3,21/01/2025,"118,000 ₪",10812-34-1,מחסנים,לא ידוע,קרקע,0,"1,422 ₪",0
חורשה 12,96.76,16/01/2025,"1,650,000 ₪",11689-13-3,דירה בבית קומות,5,שניה,1960,"17,053 ₪",3
ללא כתובת,126,14/01/2025,"5,500,000 ₪",11686-22-4,דירה בבית קומות,4,שביעית,0,"43,651 ₪",0
הנשיא 4,120,12/01/2025,"3,883,000 ₪",11718-2-9,דירה בבית קומות,5,ראשונה,1960,"32,358 ₪",2
ללא כתובת,112,07/01/2025,"5,100,000 ₪",11686-22-6,דירה בבית קומות,4,חמישית,0,"45,536 ₪",0
הנשיא 60,לא ידוע,26/12/2024,"2,980,000 ₪",11687-15-9,דירה בבית קומות,5,קרקע,1962,לא ידוע,3
יפה נוף 8,83.87,20/12/2024,"2,500,000 ₪",11685-5-9,דירה בבית קומות,4,שלישית,1960,"29,808 ₪",4
בית אל 21,126,12/12/2024,"2,700,000 ₪",11719-18-10,דירה בבית קומות,5,שניה,1960,"21,429 ₪",3
הנשיא 8,55.9,08/12/2024,"1,150,000 ₪",11718-5-31,דירה בבית קומות,2,שניה,1970,"20,572 ₪",9
בית אל 28,68.99,25/11/2024,"1,650,000 ₪",11114-15-2,דירה בבית קומות,3,שניה,1960,"24,265 ₪",3
בית אל 28,68.99,08/01/2007,"550,000 ₪",11114-15-2,דירה בבית קומות,3,שניה,1960,"24,265 ₪",3
התשבי 7,69.2,20/11/2024,"1,670,000 ₪",11718-4-1,דירה בבית קומות,3,מרתף,1940,"24,133 ₪",1
ללא כתובת,142,18/11/2024,"5,400,000 ₪",10812-18-9,דירת גג,5,קומה 5,0,"38,028 ₪",0
הנשיא 8,89.3,17/11/2024,"1,715,000 ₪",11718-5-42,דירה בבית קומות,4,חמישית,1970,"19,205 ₪",9
בית אל 6,66.3,13/11/2024,"1,430,000 ₪",11113-10-27,דירה בבית קומות,3,שניה,1960,"21,667 ₪",5
בית אל 6,66.3,30/08/2018,"980,000 ₪",11113-10-27,דירה בבית קומות,3,שניה,1960,"21,667 ₪",5
התשבי 86,71.56,13/11/2024,"1,350,000 ₪",11691-10-2,דירה בבית קומות,3,קרקע,1950,"18,865 ₪",2
ללא כתובת,108.85,31/10/2024,"935,000 ₪",10812-21-1,דירה בבית קומות,4,-,0,"8,657 ₪",0
ללא כתובת,108.85,20/02/2013,"1,349,000 ₪",10812-21-1,דירה בבית קומות,4,-,0,"8,657 ₪",0
הנשיא 4,150,28/10/2024,"4,600,000 ₪",11718-2-10,דירה בבית קומות,5,שביעית,1960,"30,667 ₪",2
שומרון 6,76,22/10/2024,"1,691,900 ₪",11718-16-5,דירה בבית קומות,3,ראשונה,1960,"22,262 ₪",3
התשבי 4,82.4,13/10/2024,"3,075,000 ₪",11113-12-4,דירה בבית קומות,4,שניה,2003,"37,500 ₪",3
התשבי 4,82.4,08/11/2009,"830,000 ₪",11113-12-4,דירה בבית קומות,4,שניה,2003,"37,500 ₪",3
בית אל 13,69.5,11/10/2024,"1,550,000 ₪",11719-12-2,דירה בבית קומות,3,ראשונה,1960,"22,464 ₪",3
בית אל 13,69.5,21/04/2010,"1,000,000 ₪",11719-12-2,דירה בבית קומות,3,ראשונה,1960,"22,464 ₪",3
שונמית 8,69.05,10/10/2024,"1,700,000 ₪",12595-6-4,דירה בבית קומות,3,ראשונה,1960,"24,638 ₪",2
שונמית 8,69.05,04/08/2016,"1,390,000 ₪",12595-6-4,דירה בבית קומות,3,ראשונה,1960,"24,638 ₪",2
שונמית 8,69.05,04/03/2004,"720,000 ₪",12595-6-4,דירה בבית קומות,3,ראשונה,1960,"24,638 ₪",2
בית אל 6,93.2,08/10/2024,"1,470,000 ₪",11113-10-32,דירה בבית קומות,4,שניה,1960,"15,773 ₪",5
ללא כתובת,58.15,07/10/2024,"1,580,000 ₪",10812-5-3,דירה בבית קומות,3,שניה,0,"27,241 ₪",0
ללא כתובת,58.15,06/07/2018,"1,359,000 ₪",10812-5-3,דירה בבית קומות,3,שניה,0,"27,241 ₪",0
ללא כתובת,58.15,12/11/2002,"950,000 ₪",10812-5-3,דירה בבית קומות,3,שניה,0,"27,241 ₪",0
התשבי 51,76.5,07/10/2024,"2,000,000 ₪",11688-17-11,דירה בבית קומות,3,שניה,1960,"26,316 ₪",2
התשבי 51,76.5,08/04/2018,"1,150,000 ₪",11688-17-11,דירה בבית קומות,3,שניה,1960,"26,316 ₪",2
התשבי 51,76.5,26/06/2011,"1,080,000 ₪",11688-17-11,דירה בבית קומות,3,שניה,1960,"26,316 ₪",2
עין גדי 1,109.07,19/09/2024,"3,500,000 ₪",11691-14-1,דירה בבית קומות,7,קרקע,2023,"32,089 ₪",4
שונמית 5,128,12/09/2024,"2,590,000 ₪",11114-11-17,דירה בבית קומות,5,רביעית,1961,"20,234 ₪",4
הנשיא 4,80,08/09/2024,"1,900,000 ₪",11718-2-11,דירה בבית קומות,3,רביעית,1960,"23,750 ₪",2
הנשיא 60,127,02/09/2024,"2,600,000 ₪",11687-15-22,דירה בבית קומות,5,מרתף 0,1962,"20,472 ₪",3
התשבי 72,65,01/09/2024,"1,600,000 ₪",11690-11-2,דירה בבית קומות,4,קרקע,1950,"24,615 ₪",1
התשבי 72,65,16/02/2006,"1,196,000 ₪",11690-11-2,דירה בבית קומות,4,קרקע,1950,"24,615 ₪",1
הנשיא 4,100,27/08/2024,"3,000,000 ₪",11718-2-1,דירה בבית קומות,3,מרתף,1960,"30,000 ₪",2
שונמית 11,73.25,26/08/2024,"1,300,000 ₪",11114-5-6,דירה בבית קומות,3,שניה,1960,"17,747 ₪",2
התשבי 89,74,25/08/2024,"2,950,000 ₪",11713-2-10,דירה בבית קומות,3,חמישית,1950,"39,865 ₪",3
התשבי 82,36.5,25/08/2024,"1,350,000 ₪",11691-2-3,דירה בבית קומות,2,ראשונה,1960,"37,500 ₪",2
התשבי 82,36.5,25/05/2022,"1,155,000 ₪",11691-2-3,דירה בבית קומות,2,ראשונה,1960,"37,500 ₪",2
התשבי 56,96.76,22/08/2024,"1,740,000 ₪",11689-10-1,דירה בבית קומות,4,ראשונה,1960,"18,125 ₪",3
הנשיא 4,93,20/08/2024,"2,300,000 ₪",11718-2-12,דירה בבית קומות,4,רביעית,1960,"24,731 ₪",2
חורשה 12,93.64,19/08/2024,"1,775,000 ₪",11689-12-5,דירה בבית קומות,5,שלישית,1960,"18,956 ₪",3
שונמית 21,172.9,18/08/2024,"3,775,000 ₪",12596-3-1,דירה בבית קומות,5,ראשונה,1996,"21,948 ₪",11
שונמית 21,172.9,20/04/2017,"2,300,000 ₪",12596-3-1,דירה בבית קומות,5,ראשונה,1996,"21,948 ₪",11
הנשיא 8,89.3,29/07/2024,"1,870,000 ₪",11718-5-54,דירה בבית קומות,4,תשיעית,1970,"20,941 ₪",9
התשבי 80,66.7,28/07/2024,"1,650,000 ₪",11691-1-3,דירה בבית קומות,3,קרקע,1960,"24,738 ₪",2
התשבי 92,לא ידוע,25/07/2024,"4,293,000 ₪",11691-21-1,מחסנים,לא ידוע,לא ידוע,1990,לא ידוע,0
הנשיא 28,87.71,25/07/2024,"1,650,000 ₪",11688-13-10,דירה בבית קומות,4,שלישית,1960,"18,812 ₪",3
התשבי 31,28.3,18/07/2024,"950,000 ₪",11718-23-2,דירה בבית קומות,1.5,קרקע,1950,"33,569 ₪",2
בית אל 30,40.95,18/07/2024,"1,320,000 ₪",11114-16-1,דירה בבית קומות,3,מרתף,1940,"33,000 ₪",2
בית אל 30,40.95,13/04/2021,"720,000 ₪",11114-16-1,דירה בבית קומות,3,מרתף,1940,"33,000 ₪",2
עובדיה 37,98,01/07/2024,"2,472,000 ₪",12597-4-5,דירה בבית קומות,4,לא ידוע,2023,"25,224 ₪",2
עובדיה 37,98,29/05/2024,"4,400,000 ₪",12597-4-5,דירה בבית קומות,4,לא ידוע,2023,"25,224 ₪",2
לאונרדו דה-וינצ'י 13,52,19/06/2024,"1,600,000 ₪",11690-10-6,לא ידוע,2,ראשונה,1950,"30,769 ₪",1
עובדיה 2,62.73,16/06/2024,"1,500,000 ₪",11719-26-7,דירה בבית קומות,2.5,שניה,1950,"23,912 ₪",2
בית אל 10,67,14/06/2024,"1,560,000 ₪",11113-9-2,דירה בבית קומות,4,ראשונה,2000,"23,284 ₪",8
בית אל 10,67,17/07/2022,"1,350,000 ₪",11113-9-2,דירה בבית קומות,4,ראשונה,2000,"23,284 ₪",8
עובדיה 37,61.5,02/06/2024,"2,413,000 ₪",12597-4-6,דירה בבית קומות,4,קרקע,2023,"39,236 ₪",2
עובדיה 37,134,02/06/2024,"3,850,000 ₪",12597-4-11,דירה בבית קומות,5,חמישית,2023,"28,731 ₪",2
עובדיה 37,102,01/06/2024,"2,442,660 ₪",12597-4-8,לא ידוע,4,לא ידוע,2023,"23,948 ₪",2
עובדיה 37,104,01/06/2024,"2,413,356 ₪",12597-4-7,לא ידוע,4,ראשונה,2023,"23,205 ₪",2
עובדיה 37,104,17/09/2013,"1,065,000 ₪",12597-4-7,לא ידוע,4,ראשונה,2023,"23,205 ₪",2
עובדיה 37,134,01/06/2024,"3,850,000 ₪",12597-4-9,לא ידוע,5,שניה,2023,"28,731 ₪",2
עובדיה 37,134,19/11/2017,"1,080,000 ₪",12597-4-9,לא ידוע,5,שניה,2023,"28,731 ₪",2
עובדיה 37,134,17/08/2008,"520,000 ₪",12597-4-9,לא ידוע,5,שניה,2023,"28,731 ₪",2
עובדיה 37,59.5,30/05/2024,"4,400,000 ₪",12597-4-2,דירה בבית קומות,3,ראשונה,2023,"73,950 ₪",2
שונמית 18,64.8,23/05/2024,"1,200,000 ₪",12596-6-9,לא ידוע,3,רביעית,1970,"18,519 ₪",4
התשבי 9,78.9,21/05/2024,"1,570,000 ₪",11718-5-78,דירה בבית קומות,3.5,חמישית,1970,"19,899 ₪",11
בית אל 21,67.5,19/05/2024,"2,050,000 ₪",11719-18-9,דירה בבית קומות,4,שניה,1960,"30,597 ₪",3
בית אל 21,67.5,11/09/2022,"2,900,000 ₪",11719-18-9,דירה בבית קומות,4,שניה,1960,"30,597 ₪",3
עובדיה 19,62.3,12/05/2024,"1,300,000 ₪",12598-5-3,דירה בבית קומות,3,שלישית,1960,"20,867 ₪",6
התשבי 4,82.4,12/05/2024,"4,650,000 ₪",11113-12-2,דירה בבית קומות,6,ראשונה,2003,"56,707 ₪",3
התשבי 4,82.4,26/06/2023,"500,000 ₪",11113-12-2,דירה בבית קומות,6,ראשונה,2003,"56,707 ₪",3
התשבי 69,70,01/05/2024,"1,750,000 ₪",11686-29-8,דירה בבית קומות,3,ראשונה,1950,"25,000 ₪",1
התשבי 69,70,19/08/2009,"1,165,000 ₪",11686-29-8,דירה בבית קומות,3,ראשונה,1950,"25,000 ₪",1
התשבי 69,70,23/09/1999,"888,000 ₪",11686-29-8,דירה בבית קומות,3,ראשונה,1950,"25,000 ₪",1
התשבי 4,118,21/04/2024,"3,200,000 ₪",11113-12-9,דירה בבית קומות,5,רביעית,2003,"27,119 ₪",3
שונמית 5,128,21/04/2024,"2,500,000 ₪",11114-11-15,דירה בבית קומות,5,קומה 0,1961,"19,531 ₪",4
