כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
ללא כתובת,95,04/02/2025,"1,400,000 ₪",11188-61-47,דירה בבית קומות,3,שישית,0,"14,737 ₪",0
"האר""י 6",75.3,02/02/2025,"1,250,000 ₪",11188-118-19,דירה בבית קומות,4,ראשונה,1970,"16,600 ₪",3
הרב קניאל 11,67.8,28/01/2025,"1,090,000 ₪",10870-98-35,דירה בבית קומות,3,שישית,1970,"16,269 ₪",22
הרב קניאל 11,67.8,25/09/2020,"700,000 ₪",10870-98-35,דירה בבית קומות,3,שישית,1970,"16,269 ₪",22
הרב קניאל 11,68.9,28/01/2025,"1,178,000 ₪",10870-98-104,דירה בבית קומות,3,שבע עשרה,1970,"17,097 ₪",22
הרב קניאל 11,83.1,09/01/2025,"1,190,000 ₪",10870-98-91,דירה בבית קומות,4,חמש עשרה,1970,"14,320 ₪",22
ללא כתובת,40.3,22/12/2024,"780,000 ₪",10867-217-8,דירה בבית קומות,2.5,שלישית,0,"19,500 ₪",0
ללא כתובת,40.3,27/10/2021,"640,000 ₪",10867-217-8,דירה בבית קומות,2.5,שלישית,0,"19,500 ₪",0
ללא כתובת,40.3,06/08/2012,"425,000 ₪",10867-217-8,דירה בבית קומות,2.5,שלישית,0,"19,500 ₪",0
ללא כתובת,40.3,23/06/2009,"160,000 ₪",10867-217-8,דירה בבית קומות,2.5,שלישית,0,"19,500 ₪",0
מקור ברוך 2,95.45,11/12/2024,"1,720,000 ₪",11188-97-6,דירה בבית קומות,4,שלישית,1960,"18,020 ₪",3
ללא כתובת,70.6,27/11/2024,"1,420,000 ₪",10867-181-1,דירה בבית קומות,3.5,קרקע,0,"20,286 ₪",0
ללא כתובת,70.6,11/07/2010,"620,000 ₪",10867-181-1,דירה בבית קומות,3.5,קרקע,0,"20,286 ₪",0
ללא כתובת,70.6,12/08/2001,"296,000 ₪",10867-181-1,דירה בבית קומות,3.5,קרקע,0,"20,286 ₪",0
ללא כתובת,51,24/11/2024,"1,190,000 ₪",10867-122-2,דירה בבית קומות,2.5,קרקע,0,"23,333 ₪",0
ללא כתובת,51,03/09/2014,"600,000 ₪",10867-122-2,דירה בבית קומות,2.5,קרקע,0,"23,333 ₪",0
ללא כתובת,51,02/08/2009,"345,000 ₪",10867-122-2,דירה בבית קומות,2.5,קרקע,0,"23,333 ₪",0
מקור ברוך 18,51,05/11/2024,"930,000 ₪",11188-84-2,דירה בבית קומות,3,קרקע,1960,"18,235 ₪",3
ללא כתובת,96,31/10/2024,"1,324,000 ₪",11188-61-48,דירה בבית קומות,3,תשיעית,0,"13,792 ₪",0
הרב קניאל 11,68.9,21/10/2024,"512,000 ₪",10870-98-14,דירה בבית קומות,3,שניה,1970,"7,529 ₪",22
הרב קניאל 11,68.9,06/11/2015,"390,000 ₪",10870-98-14,דירה בבית קומות,3,שניה,1970,"7,529 ₪",22
ללא כתובת,53.6,10/10/2024,"925,000 ₪",10867-122-9,דירה בבית קומות,3,שלישית,0,"17,257 ₪",0
אליעזר 1,93.5,09/10/2024,"2,222,200 ₪",11188-77-1,דירה בבית קומות,5,קרקע,1950,"23,767 ₪",2
מקור ברוך 8,63.7,08/10/2024,"1,450,000 ₪",11188-98-13,דירה בבית קומות,3,שניה,1960,"22,763 ₪",3
מקור ברוך 3,32,16/09/2024,"1,100,000 ₪",11188-77-21,דירה בבית קומות,2,ראשונה,1950,"34,375 ₪",2
מקור ברוך 3,32,20/11/2016,"730,000 ₪",11188-77-21,דירה בבית קומות,2,ראשונה,1950,"34,375 ₪",2
מקור ברוך 3,32,01/06/2008,"175,000 ₪",11188-77-21,דירה בבית קומות,2,ראשונה,1950,"34,375 ₪",2
ללא כתובת,83.64,29/08/2024,"1,400,000 ₪",10867-201-1,דירה בבית קומות,4,מסד,0,"16,867 ₪",0
ללא כתובת,83.64,16/03/2017,"300,000 ₪",10867-201-1,דירה בבית קומות,4,מסד,0,"16,867 ₪",0
ללא כתובת,83.64,13/12/2012,"235,000 ₪",10867-201-1,דירה בבית קומות,4,מסד,0,"16,867 ₪",0
ללא כתובת,83.64,25/08/2011,"201,000 ₪",10867-201-1,דירה בבית קומות,4,מסד,0,"16,867 ₪",0
הרב קניאל 11,68.9,15/08/2024,"1,150,000 ₪",10870-98-134,דירה בבית קומות,3,עשרים ושתיים,1970,"16,691 ₪",22
מקור ברוך 18,27,07/08/2024,"450,000 ₪",11188-84-3,דירה בבית קומות,1,קרקע,1960,"16,667 ₪",3
ללא כתובת,54.85,30/06/2024,"930,000 ₪",10867-124-13,דירה בבית קומות,3,שניה,0,"17,222 ₪",0
ללא כתובת,54.85,18/01/2017,"620,000 ₪",10867-124-13,דירה בבית קומות,3,שניה,0,"17,222 ₪",0
ללא כתובת,82.65,24/06/2024,"1,665,000 ₪",10867-181-3,דירה בבית קומות,3,שניה,0,"20,145 ₪",0
זבולון 9,48.3,19/06/2024,"985,000 ₪",10907-30-8,דירה בבית קומות,2,שניה,1950,"20,521 ₪",3
זבולון 9,48.3,14/06/2011,"400,000 ₪",10907-30-8,דירה בבית קומות,2,שניה,1950,"20,521 ₪",3
ללא כתובת,96,12/05/2024,"1,400,000 ₪",11188-61-49,דירה בבית קומות,3,תשיעית,0,"14,583 ₪",0
ללא כתובת,56.5,05/05/2024,"1,000,000 ₪",10907-42-1,דירה בבית קומות,3,קרקע,0,"17,857 ₪",0
ללא כתובת,56.5,11/09/2019,"788,000 ₪",10907-42-1,דירה בבית קומות,3,קרקע,0,"17,857 ₪",0
ללא כתובת,56.5,28/10/2009,"215,000 ₪",10907-42-1,דירה בבית קומות,3,קרקע,0,"17,857 ₪",0
ללא כתובת,56.5,23/06/2009,"210,000 ₪",10907-42-1,דירה בבית קומות,3,קרקע,0,"17,857 ₪",0
מקור ברוך 13,לא ידוע,16/04/2024,"1,650,000 ₪",11188-144-3,דירה בבית קומות,1,ראשונה,1990,לא ידוע,1
אהבת ישראל 6,130,08/04/2024,"2,050,000 ₪",11188-1-15,דירה בבית קומות,6,רביעית,2000,"15,769 ₪",8
הרב קניאל 1,100,02/04/2024,"1,620,000 ₪",10870-99-17,דירה בבית קומות,4,ראשונה,1970,"16,200 ₪",4
אהבת ישראל 14,79.91,01/04/2024,"1,850,000 ₪",11188-130-11,דירה בבית קומות,3,שישית,2010,"23,151 ₪",8
ארנון 6,34.1,27/03/2024,"640,000 ₪",10907-35-1,דירה בבית קומות,2,קרקע,1950,"18,824 ₪",3
ארנון 6,34.1,26/12/2012,"345,000 ₪",10907-35-1,דירה בבית קומות,2,קרקע,1950,"18,824 ₪",3
הרב קניאל 1,104,14/03/2024,"1,650,000 ₪",10870-99-16,דירה בבית קומות,4,שלישית,1970,"15,865 ₪",4
ללא כתובת,52.4,18/02/2024,"1,100,000 ₪",10867-122-12,דירה בבית קומות,3,רביעית,0,"21,154 ₪",0
ללא כתובת,52.4,13/04/2003,"330,000 ₪",10867-122-12,דירה בבית קומות,3,רביעית,0,"21,154 ₪",0
ללא כתובת,52.4,24/12/1999,"366,000 ₪",10867-122-12,דירה בבית קומות,3,רביעית,0,"21,154 ₪",0
זבולון 15,35.5,15/02/2024,"600,000 ₪",10907-36-7,דירה בבית קומות,2,ראשונה,1950,"17,143 ₪",3
זבולון 15,35.5,01/09/2020,"535,000 ₪",10907-36-7,דירה בבית קומות,2,ראשונה,1950,"17,143 ₪",3
זבולון 15,35.5,18/04/2005,"105,000 ₪",10907-36-7,דירה בבית קומות,2,ראשונה,1950,"17,143 ₪",3
מקור ברוך 18,30.5,24/01/2024,"1,200,000 ₪",11188-84-7,דירה בבית קומות,2.5,שניה,1960,"39,344 ₪",3
"האר""י 20",134.8,16/01/2024,"1,725,000 ₪",11188-121-2,דירה בבית קומות,5,ראשונה שניה,1970,"12,873 ₪",5
"האר""י 20",134.8,14/03/2018,"1,350,000 ₪",11188-121-2,דירה בבית קומות,5,ראשונה שניה,1970,"12,873 ₪",5
אהבת ישראל 8,1782,08/01/2024,"8,812,000 ₪",11188-127-1,קרקע למגורים,לא ידוע,לא ידוע,0,"4,945 ₪",0
