כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
בת חן 25,126.95,07/04/2025,"2,380,000 ₪",11193-325-12,דירה בבית קומות,5,שניה שלישית,1999,"18,889 ₪",2
בת חן 25,126.95,05/03/1999,"1,092,000 ₪",11193-325-12,דירה בבית קומות,5,שניה שלישית,1999,"18,889 ₪",2
חוחית 6,117.18,02/03/2025,"2,725,000 ₪",11193-317-6,דירה בבית קומות,4,קרקע שלישית ורביעית,2005,"23,291 ₪",4
חוחית 6,117.18,08/03/2006,"1,380,000 ₪",11193-317-6,דירה בבית קומות,4,קרקע שלישית ורביעית,2005,"23,291 ₪",4
בת חן 54,120,13/02/2025,"2,900,000 ₪",11193-287-8,דירה בבית קומות,5,ראשונה,1999,"24,167 ₪",2
צופית 14,71.8,09/02/2025,"249,000 ₪",11193-258-51,דירה בבית קומות,3,קומה 2,2022,"3,468 ₪",7
דוכיפת 14,101.61,02/02/2025,"800,000 ₪",11193-297-8,דירה בבית קומות,3,שניה,2002,"7,921 ₪",3
דוכיפת 14,101.61,18/03/2020,"1,414,000 ₪",11193-297-8,דירה בבית קומות,3,שניה,2002,"7,921 ₪",3
דוכיפת 14,101.61,22/05/2017,"1,370,000 ₪",11193-297-8,דירה בבית קומות,3,שניה,2002,"7,921 ₪",3
בת חן 46,78.46,15/01/2025,"1,600,000 ₪",11193-283-5,דירה בבית קומות,3,שלישית,2000,"20,513 ₪",3
בת חן 46,78.46,03/06/2012,"1,270,000 ₪",11193-283-5,דירה בבית קומות,3,שלישית,2000,"20,513 ₪",3
צופית 2,76.22,07/01/2025,"1,550,000 ₪",11193-310-4,דירה בבית קומות,3.5,שניה,2000,"20,395 ₪",4
בת חן 23,63.21,26/12/2024,"1,380,000 ₪",11193-323-3,דירה בבית קומות,3,ראשונה,2000,"21,905 ₪",3
בת חן 23,63.21,18/04/2002,"838,000 ₪",11193-323-3,דירה בבית קומות,3,ראשונה,2000,"21,905 ₪",3
חוחית 1,76,05/12/2024,"1,545,000 ₪",11193-331-6,דירה בבית קומות,3,שניה,2005,"20,329 ₪",3
בת חן 54,79,02/12/2024,"2,270,000 ₪",11193-287-7,דירה בבית קומות,4,ראשונה,1999,"28,734 ₪",2
בת חן 4,86,18/11/2024,"1,950,000 ₪",11193-300-4,דירה בבית קומות,4,שניה,2000,"22,674 ₪",3
בת חן 6,122.38,01/11/2024,"1,900,000 ₪",11193-302-7,דירה בבית קומות,5,רביעית וחמישית,1997,"15,525 ₪",4
בת חן 42,92.53,23/08/2024,"2,475,000 ₪",11193-281-3,דירה בבית קומות,4.5,שניה,2001,"26,748 ₪",3
דוכיפת 12,95.04,16/08/2024,"2,095,000 ₪",11193-296-3,דירה בבית קומות,4,ראשונה,2000,"22,053 ₪",3
דוכיפת 12,95.04,08/12/2011,"1,500,000 ₪",11193-296-3,דירה בבית קומות,4,ראשונה,2000,"22,053 ₪",3
