כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
גוטל לוין 20,79,27/04/2025,"1,420,000 ₪",11193-204-29,דירה בבית קומות,4,שמינית,1980,"17,975 ₪",8
גוטל לוין 20,79,14/08/2012,"945,000 ₪",11193-204-29,דירה בבית קומות,4,שמינית,1980,"17,975 ₪",8
גוטל לוין 20,79,22/12/2005,"660,000 ₪",11193-204-29,דירה בבית קומות,4,שמינית,1980,"17,975 ₪",8
קדיש לוז 15,85,14/03/2025,"1,520,000 ₪",11193-235-13,דירה בבית קומות,4,שניה,1990,"17,882 ₪",6
גוטל לוין 6,87,11/03/2025,"1,550,000 ₪",11193-211-10,דירה בבית קומות,4,שלישית,1980,"17,816 ₪",5
גוטל לוין 6,87,21/01/2018,"1,425,000 ₪",11193-211-10,דירה בבית קומות,4,שלישית,1980,"17,816 ₪",5
גוטל לוין 6,87,25/12/2014,"1,350,000 ₪",11193-211-10,דירה בבית קומות,4,שלישית,1980,"17,816 ₪",5
גוטל לוין 6,87,25/03/2007,"611,000 ₪",11193-211-10,דירה בבית קומות,4,שלישית,1980,"17,816 ₪",5
גוטל לוין 44,70.3,26/02/2025,"1,345,000 ₪",11193-248-16,דירה בבית קומות,4,רביעית,1980,"19,214 ₪",7
גוטל לוין 44,70.3,21/05/2008,"445,000 ₪",11193-248-16,דירה בבית קומות,4,רביעית,1980,"19,214 ₪",7
גוטל לוין 44,70.3,19/07/1998,"554,000 ₪",11193-248-16,דירה בבית קומות,4,רביעית,1980,"19,214 ₪",7
גוטל לוין 17,82.1,30/01/2025,"1,550,000 ₪",11193-233-8,דירה בבית קומות,4,רביעית,1990,"18,902 ₪",4
גוטל לוין 17,82.1,02/02/2007,"609,000 ₪",11193-233-8,דירה בבית קומות,4,רביעית,1990,"18,902 ₪",4
גוטל לוין 42,58.8,05/01/2025,"1,370,000 ₪",11193-249-40,דירה בבית קומות,3,שלישית,1980,"23,621 ₪",7
גוטל לוין 42,58.8,04/07/2023,"1,180,000 ₪",11193-249-40,דירה בבית קומות,3,שלישית,1980,"23,621 ₪",7
גוטל לוין 42,58.8,31/10/2012,"385,000 ₪",11193-249-40,דירה בבית קומות,3,שלישית,1980,"23,621 ₪",7
גוטל לוין 42,58.8,29/12/1998,"510,000 ₪",11193-249-40,דירה בבית קומות,3,שלישית,1980,"23,621 ₪",7
גוטל לוין 5,83.2,30/12/2024,"1,420,000 ₪",11193-231-27,דירה בבית קומות,3,שישית,2000,"17,108 ₪",15
גוטל לוין 5,83.2,13/03/2005,"816,000 ₪",11193-231-27,דירה בבית קומות,3,שישית,2000,"17,108 ₪",15
גוטל לוין 5,83.2,24/08/1999,"755,000 ₪",11193-231-27,דירה בבית קומות,3,שישית,2000,"17,108 ₪",15
גוטל לוין 5,83.2,30/12/2024,חלק נמכר,11193-231-27,דירה בבית קומות,3,שישית,2000,"17,108 ₪",15
גוטל לוין 5,83.2,מחיר,1,11193-231-27,דירה בבית קומות,3,שישית,2000,"17,108 ₪",15
גוטל לוין 5,83.2,50%,"710,000 ₪",11193-231-27,דירה בבית קומות,3,שישית,2000,"17,108 ₪",15
גוטל לוין 5,83.2,2,50%,11193-231-27,דירה בבית קומות,3,שישית,2000,"17,108 ₪",15
