כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
יד לבנים 92,90,16/05/2025,"1,215,000 ₪",11720-64-82,דירה בבית קומות,4,שש עשרה,1999,"13,500 ₪",9
פאר 53,47.75,08/04/2025,"840,000 ₪",11720-15-17,דירה בבית קומות,2,ראשונה,1970,"17,872 ₪",5
הירדן 31,59.5,08/04/2025,"1,040,000 ₪",12485-8-6,דירה בבית קומות,3,ראשונה,1970,"17,627 ₪",4
הירדן 31,59.5,01/02/2021,"500,000 ₪",12485-8-6,דירה בבית קומות,3,ראשונה,1970,"17,627 ₪",4
יד לבנים 128,60,23/03/2025,"990,000 ₪",11720-58-1,דירה בבית קומות,3,קרקע,1960,"16,500 ₪",3
פאר 49,47.75,17/03/2025,"865,000 ₪",11720-11-17,דירה בבית קומות,2,ראשונה,1970,"18,404 ₪",6
פאר 49,47.75,23/03/2022,"690,000 ₪",11720-11-17,דירה בבית קומות,2,ראשונה,1970,"18,404 ₪",6
פאר 49,47.75,01/10/2009,"225,000 ₪",11720-11-17,דירה בבית קומות,2,ראשונה,1970,"18,404 ₪",6
פאר 49,47.75,04/04/2000,"282,000 ₪",11720-11-17,דירה בבית קומות,2,ראשונה,1970,"18,404 ₪",6
הירדן 50,57,26/02/2025,"850,000 ₪",12484-12-2,דירה בבית קומות,2,ראשונה,1960,"14,912 ₪",3
הירדן 50,57,03/03/2022,"700,000 ₪",12484-12-2,דירה בבית קומות,2,ראשונה,1960,"14,912 ₪",3
הירדן 50,57,13/01/2015,"446,000 ₪",12484-12-2,דירה בבית קומות,2,ראשונה,1960,"14,912 ₪",3
פאר 77,76,20/02/2025,"1,210,000 ₪",11720-51-6,דירה בבית קומות,3,שניה,1960,"15,921 ₪",3
פאר 77,76,18/05/2016,"785,000 ₪",11720-51-6,דירה בבית קומות,3,שניה,1960,"15,921 ₪",3
פאר 77,76,27/04/2015,"575,000 ₪",11720-51-6,דירה בבית קומות,3,שניה,1960,"15,921 ₪",3
דוד רזיאל 25,40,13/02/2025,"830,000 ₪",12486-19-8,דירה בבית קומות,2,שניה,1980,"20,750 ₪",2
יד לבנים 142,50,07/02/2025,"920,000 ₪",11720-39-3,דירה בבית קומות,2,קרקע,1960,"18,400 ₪",5
יד לבנים 142,50,28/07/2019,"610,000 ₪",11720-39-3,דירה בבית קומות,2,קרקע,1960,"18,400 ₪",5
יד לבנים 142,50,10/01/2017,"585,000 ₪",11720-39-3,דירה בבית קומות,2,קרקע,1960,"18,400 ₪",5
יד לבנים 142,50,14/02/2011,"325,000 ₪",11720-39-3,דירה בבית קומות,2,קרקע,1960,"18,400 ₪",5
יד לבנים 142,50,21/06/2010,"315,000 ₪",11720-39-3,דירה בבית קומות,2,קרקע,1960,"18,400 ₪",5
פאר 11,60.5,06/02/2025,"600,000 ₪",12486-26-11,דירה בבית קומות,2,שלישית,1960,"10,000 ₪",3
פאר 11,60.5,02/01/2018,"590,000 ₪",12486-26-11,דירה בבית קומות,2,שלישית,1960,"10,000 ₪",3
פאר 11,60.5,04/09/2012,"360,000 ₪",12486-26-11,דירה בבית קומות,2,שלישית,1960,"10,000 ₪",3
פאר 34,46.94,05/02/2025,"863,000 ₪",12497-5-11,דירה בבית קומות,2,רביעית,1960,"18,761 ₪",6
פאר 34,46.94,19/10/2022,"670,000 ₪",12497-5-11,דירה בבית קומות,2,רביעית,1960,"18,761 ₪",6
פאר 34,46.94,05/02/2025,חלק נמכר,12497-5-11,דירה בבית קומות,2,רביעית,1960,"18,761 ₪",6
פאר 34,46.94,מחיר,1,12497-5-11,דירה בבית קומות,2,רביעית,1960,"18,761 ₪",6
פאר 34,46.94,50%,"431,500 ₪",12497-5-11,דירה בבית קומות,2,רביעית,1960,"18,761 ₪",6
פאר 34,46.94,2,50%,12497-5-11,דירה בבית קומות,2,רביעית,1960,"18,761 ₪",6
פאר 34,46.94,"431,500 ₪","863,000 ₪",12497-5-11,דירה בבית קומות,2,רביעית,1960,"18,761 ₪",6
יד לבנים 76,43.47,29/01/2025,"600,000 ₪",11720-20-2,דירה בבית קומות,2,קומה 0,1960,"13,803 ₪",3
דוד רזיאל 44,53.1,28/01/2025,"750,000 ₪",12483-21-2,דירה בבית קומות,3,קרקע,1970,"14,151 ₪",3
דוד רזיאל 44,53.1,01/11/2021,"550,000 ₪",12483-21-2,דירה בבית קומות,3,קרקע,1970,"14,151 ₪",3
דוד רזיאל 44,53.1,30/03/2015,"510,000 ₪",12483-21-2,דירה בבית קומות,3,קרקע,1970,"14,151 ₪",3
יד לבנים 52,47.75,27/01/2025,"905,000 ₪",11720-2-6,דירה בבית קומות,2,שלישית,1960,"18,953 ₪",5
רזיאל דוד 68,44.83,06/01/2025,"820,000 ₪",11720-8-17,דירה בבית קומות,2,שלישית,1960,"18,291 ₪",4
פאר 6,70.6,26/12/2024,"1,065,000 ₪",12494-18-10,דירה בבית קומות,3,רביעית,1970,"15,214 ₪",4
פאר 6,70.6,23/01/2022,"630,000 ₪",12494-18-10,דירה בבית קומות,3,רביעית,1970,"15,214 ₪",4
פאר 6,70.6,14/03/2016,"443,000 ₪",12494-18-10,דירה בבית קומות,3,רביעית,1970,"15,214 ₪",4
הירדן 37,71.8,24/12/2024,"890,000 ₪",12485-17-4,דירה בבית קומות,3.5,ראשונה,1950,"12,535 ₪",2
הירדן 37,71.8,2010-07-12,"260,000 ₪",12485-17-4,דירה בבית קומות,3.5,ראשונה,1950,"12,535 ₪",2
דוד רזיאל 67,52,24/12/2024,"900,000 ₪",12483-11-8,דירה בבית קומות,3,שניה,1960,"17,308 ₪",3
דוד רזיאל 48,60.42,19/12/2024,"960,000 ₪",12483-19-7,דירה בבית קומות,3,שלישית,1995,"16,000 ₪",4
דוד רזיאל 48,60.42,01/11/2018,"612,000 ₪",12483-19-7,דירה בבית קומות,3,שלישית,1995,"16,000 ₪",4
רזיאל דוד 66,44.83,12/12/2024,"820,000 ₪",11720-8-21,דירה בבית קומות,2,רביעית,1960,"18,636 ₪",4
רזיאל דוד 66,44.83,20/02/2018,"530,000 ₪",11720-8-21,דירה בבית קומות,2,רביעית,1960,"18,636 ₪",4
דוד רזיאל 57,21.4,12/12/2024,"650,000 ₪",12483-2-3,דירה בבית קומות,2,שניה,1999,"30,952 ₪",8
